Clase,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,Promedio_Tiempo(s),Promedio_Memoria(KB),refactor
Programa001,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0591,54541,1
Programa002,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0612,54355,1
Programa003,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0598,53958,1
Programa004,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0654,55886,1
Programa005,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0594,54268,1
Programa006,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0616,53841,1
Programa007,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0591,53897,1
Programa008,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0618,55947,1
Programa009,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0678,54147,1
Programa010,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0586,54775,1
Programa011,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0576,54080,1
Programa012,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.063,56037,1
Programa013,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.058,53902,1
Programa014,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0656,54380,1
Programa015,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0579,54426,1
Programa016,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0599,55964,1
Programa017,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0588,54595,1
Programa018,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0577,54801,1
Programa019,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0546,54536,1
Programa020,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0589,56004,1
Programa021,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0568,54741,1
Programa022,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0571,54709,1
Programa023,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0553,54134,1
Programa024,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0596,55860,1
Programa025,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0558,54444,1
Programa026,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0563,53776,1
Programa027,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.056,54955,1
Programa028,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0603,55866,1
Programa029,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0623,54437,1
Programa030,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0577,54795,1
Programa031,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0576,54375,1
Programa032,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0614,56014,1
Programa033,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485,3,0.0586,53951,1
Programa034,4,8,16,15,12,31,111.13383752235583,3.75,416.7518907088344,23.152882817157465,0.0185978952728277,2,0.0571,54563,1
Programa035,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.0273566472570309,4,0.0558,54373,1
Programa036,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.0250886091980598,3,0.0637,55887,1
