archivo,n1,n2,N1,N2,n,N,V,D,E,McCabe
Conversor.java,7,19,8,21,26,29,136.31,3.87,527.32,1
Suma.java,5,15,8,18,20,26,112.37,3.0,337.11,1
Tareas.java,8,29,13,44,37,57,296.94,6.07,1802.11,4
Factorial.java,7,18,9,29,25,38,176.47,5.64,995.08,2
Adivina.java,6,20,10,26,26,36,169.22,3.9,659.94,2
