Iteración,Tiempo(s),Memoria(KB)
1,0.06,55556
2,0.08,55800
3,0.07,55916
4,0.05,55656
5,0.06,55952
6,0.08,56656
7,0.06,55924
8,0.06,55596
9,0.06,56316
10,0.07,56172
11,0.07,56360
12,0.06,55536
13,0.06,56444
14,0.07,56040
15,0.06,56684
16,0.07,56300
17,0.06,55548
18,0.07,56296
19,0.09,56088
20,0.06,55428
21,0.07,56556
22,0.07,56172
23,0.06,55664
24,0.06,56436
25,0.07,56400
26,0.07,56316
27,0.07,55928
28,0.10,56708
29,0.06,56552
30,0.06,56540
31,0.07,56044
32,0.06,56308
33,0.07,56688
34,0.10,55812
35,0.06,56560
36,0.06,56312
37,0.06,56700
38,0.06,56296
39,0.06,57076
40,0.06,55664
41,0.06,53628
42,0.06,53616
43,0.06,55916
44,0.06,56828
45,0.06,53488
46,0.05,55928
47,0.07,55500
48,0.06,55788
49,0.07,55676
50,0.05,55660
51,0.06,56944
52,0.07,55916
53,0.06,56188
54,0.06,55276
55,0.06,56300
56,0.06,55668
57,0.07,56044
58,0.06,53996
59,0.05,56428
60,0.06,56708
61,0.06,56168
62,0.06,56060
63,0.06,53656
64,0.06,56172
65,0.06,55928
66,0.06,55280
67,0.07,56296
68,0.07,56432
69,0.07,55924
70,0.06,56572
71,0.06,55660
72,0.06,55412
73,0.06,56296
74,0.07,55800
75,0.06,53508
76,0.07,56312
77,0.06,56316
78,0.06,55684
79,0.07,56060
80,0.07,55712
81,0.08,56164
82,0.07,55956
83,0.07,53616
84,0.06,56428
85,0.06,56128
86,0.06,55660
87,0.06,56312
88,0.06,56700
89,0.06,57072
90,0.06,55576
91,0.07,55804
92,0.06,55532
93,0.06,56432
94,0.07,56048
95,0.06,56428
96,0.07,56172
97,0.08,56072
98,0.07,56304
99,0.06,55920
100,0.06,55576
