Iteración,Tiempo(s),Memoria(KB)
1,0.07,56188
2,0.06,55800
3,0.05,55672
4,0.07,53612
5,0.07,53628
6,0.06,53096
7,0.06,55676
8,0.05,55720
9,0.06,55148
10,0.06,56316
11,0.07,56264
12,0.06,55804
13,0.06,52980
14,0.06,52976
15,0.06,55788
16,0.06,55996
17,0.06,55660
18,0.06,53016
19,0.06,55668
20,0.06,56132
21,0.07,55532
22,0.07,55916
23,0.06,56436
24,0.07,56172
25,0.06,56184
26,0.05,55760
27,0.06,55404
28,0.06,53116
29,0.06,53356
30,0.07,55756
31,0.07,56060
32,0.09,56040
33,0.06,53104
34,0.06,53500
35,0.06,53356
36,0.05,53244
37,0.06,53208
38,0.06,53488
39,0.06,55804
40,0.06,53500
41,0.05,55724
42,0.05,55788
43,0.06,56172
44,0.07,56132
45,0.06,55620
46,0.05,55276
47,0.06,53240
48,0.07,53236
49,0.06,53356
50,0.06,53484
51,0.06,40440
52,0.09,56068
53,0.05,55412
54,0.06,55920
55,0.06,53368
56,0.07,56188
57,0.06,53228
58,0.05,53264
59,0.05,53608
60,0.05,56080
61,0.07,56052
62,0.06,53612
63,0.05,53616
64,0.07,55912
65,0.06,53372
66,0.06,53132
67,0.05,53800
68,0.06,56176
69,0.06,55676
70,0.06,53356
71,0.06,53372
72,0.07,55920
73,0.06,53580
74,0.05,53360
75,0.05,56180
76,0.06,53360
77,0.05,53244
78,0.07,55660
79,0.08,56180
80,0.06,53484
81,0.06,55916
82,0.06,53456
83,0.06,53616
84,0.07,55664
85,0.05,55528
86,0.06,53232
87,0.06,56048
88,0.05,53612
89,0.06,53488
90,0.06,53096
91,0.06,53512
92,0.07,56044
93,0.06,56180
94,0.07,55684
95,0.06,53424
96,0.07,56296
97,0.05,53620
98,0.06,55920
99,0.05,55484
100,0.06,53500
