Iteración,Tiempo(s),Memoria(KB)
1,0.07,56180
2,0.06,56296
3,0.06,53360
4,0.06,53348
5,0.06,53500
6,0.06,55420
7,0.05,53488
8,0.06,53672
9,0.07,55924
10,0.06,56172
11,0.06,53244
12,0.06,55920
13,0.07,55912
14,0.06,55420
15,0.06,53616
16,0.06,55932
17,0.06,53500
18,0.07,55804
19,0.07,55536
20,0.06,55796
21,0.07,53484
22,0.06,40340
23,0.05,55920
24,0.06,56068
25,0.05,53244
26,0.05,55416
27,0.07,56168
28,0.07,55912
29,0.06,53488
30,0.06,53136
31,0.06,55776
32,0.05,53124
33,0.05,55404
34,0.06,53356
35,0.05,53488
36,0.06,55800
37,0.06,53356
38,0.06,53616
39,0.05,53244
40,0.09,55684
41,0.06,55920
42,0.06,55920
43,0.06,55532
44,0.06,53228
45,0.07,56168
46,0.06,56304
47,0.06,53352
48,0.06,53032
49,0.05,55532
50,0.06,55532
51,0.06,53500
52,0.07,56176
53,0.07,56176
54,0.05,53748
55,0.05,40300
56,0.05,53500
57,0.05,53116
58,0.06,53360
59,0.06,56060
60,0.05,53112
61,0.06,53328
62,0.07,53252
63,0.06,55660
64,0.06,53364
65,0.06,53392
66,0.05,53328
67,0.06,56012
68,0.06,55528
69,0.06,55932
70,0.07,55980
71,0.06,55536
72,0.06,53580
73,0.05,53744
74,0.06,53360
75,0.05,53308
76,0.05,53244
77,0.05,53484
78,0.06,53352
79,0.06,56260
80,0.05,55664
81,0.06,53736
82,0.06,56188
83,0.06,53624
84,0.05,55660
85,0.05,53488
86,0.05,55920
87,0.07,55812
88,0.07,53360
89,0.05,53228
90,0.06,56188
91,0.05,55788
92,0.05,53340
93,0.05,55664
94,0.06,53144
95,0.07,55656
96,0.08,55924
97,0.06,53500
98,0.06,53164
99,0.06,55284
100,0.07,55788
