Iteración,Tiempo(s),Memoria(KB)
1,0.06,53608
2,0.05,53356
3,0.06,55804
4,0.06,53616
5,0.06,56176
6,0.05,53116
7,0.06,52972
8,0.08,55788
9,0.06,56444
10,0.06,53744
11,0.06,40436
12,0.06,55804
13,0.07,55676
14,0.07,56184
15,0.05,55408
16,0.05,53356
17,0.05,55300
18,0.06,53244
19,0.07,53364
20,0.06,55672
21,0.05,53232
22,0.05,55676
23,0.06,53352
24,0.07,53484
25,0.07,53372
26,0.07,53388
27,0.07,55304
28,0.06,55824
29,0.06,53360
30,0.06,55356
31,0.05,56052
32,0.06,53372
33,0.07,55412
34,0.06,55800
35,0.06,53244
36,0.05,53492
37,0.05,55404
38,0.05,53500
39,0.05,55664
40,0.07,55536
41,0.06,53496
42,0.05,55512
43,0.05,53112
44,0.05,53100
45,0.07,53228
46,0.05,53336
47,0.06,53036
48,0.06,53616
49,0.06,53740
50,0.05,55528
51,0.06,55428
52,0.05,56424
53,0.05,55920
54,0.05,55804
55,0.06,53372
56,0.06,56168
57,0.06,53244
58,0.06,56316
59,0.05,53040
60,0.08,55612
61,0.06,53228
62,0.06,55804
63,0.06,53164
64,0.07,55792
65,0.06,55536
66,0.06,56088
67,0.06,55248
68,0.06,56268
69,0.06,55792
70,0.06,55408
71,0.05,53676
72,0.07,53096
73,0.07,53484
74,0.05,55300
75,0.06,55800
76,0.06,53364
77,0.06,53500
78,0.06,53484
79,0.07,55804
80,0.06,56048
81,0.06,56044
82,0.05,53488
83,0.05,53624
84,0.07,55932
85,0.06,53548
86,0.07,55660
87,0.07,56044
88,0.06,56060
89,0.06,53100
90,0.07,53620
91,0.06,53484
92,0.06,56300
93,0.07,56188
94,0.06,53368
95,0.07,56184
96,0.06,53488
97,0.05,53244
98,0.06,53484
99,0.06,55664
100,0.07,55536
