Iteración,Tiempo(s),Memoria(KB)
1,0.07,55664
2,0.07,56024
3,0.05,55672
4,0.06,53628
5,0.07,53240
6,0.07,53744
7,0.07,55596
8,0.06,53488
9,0.06,55932
10,0.06,55440
11,0.06,53380
12,0.06,56308
13,0.07,55676
14,0.06,55652
15,0.07,56040
16,0.06,56172
17,0.06,55924
18,0.07,55584
19,0.05,55672
20,0.06,55292
21,0.06,53244
22,0.07,55960
23,0.06,56052
24,0.06,53624
25,0.06,56176
26,0.06,53228
27,0.06,56168
28,0.05,55804
29,0.06,53612
30,0.05,55792
31,0.05,55784
32,0.06,55548
33,0.05,53372
34,0.06,53492
35,0.06,53124
36,0.07,55520
37,0.11,55812
38,0.06,55812
39,0.05,55292
40,0.06,53124
41,0.05,53356
42,0.06,55876
43,0.06,55440
44,0.06,53224
45,0.06,53356
46,0.05,53084
47,0.06,53232
48,0.06,55924
49,0.06,56056
50,0.06,53232
51,0.06,56188
52,0.06,53368
53,0.05,52972
54,0.06,56316
55,0.07,53352
56,0.06,56044
57,0.06,55408
58,0.06,56068
59,0.07,55556
60,0.05,53484
61,0.07,53612
62,0.05,53488
63,0.06,53360
64,0.06,53612
65,0.06,55556
66,0.05,53372
67,0.06,56176
68,0.05,53496
69,0.07,55528
70,0.06,53372
71,0.06,53608
72,0.05,55912
73,0.06,56316
74,0.06,53360
75,0.06,53384
76,0.06,55804
77,0.06,56044
78,0.06,53612
79,0.06,55956
80,0.06,53488
81,0.08,55876
82,0.06,55796
83,0.05,53500
84,0.05,53500
85,0.06,55804
86,0.07,55620
87,0.05,55528
88,0.06,55784
89,0.06,55928
90,0.05,53612
91,0.07,56060
92,0.05,55408
93,0.06,55404
94,0.05,53364
95,0.06,53364
96,0.06,53340
97,0.05,55784
98,0.06,56044
99,0.06,53592
100,0.05,53488
