Iteración,Tiempo(s),Memoria(KB)
1,0.06,53612
2,0.05,55404
3,0.06,53508
4,0.07,55924
5,0.06,55664
6,0.06,53612
7,0.06,55760
8,0.06,53756
9,0.07,53488
10,0.06,56056
11,0.05,55804
12,0.05,55548
13,0.05,53356
14,0.06,53104
15,0.06,55788
16,0.06,53356
17,0.06,56560
18,0.06,53484
19,0.07,53372
20,0.06,55792
21,0.06,56316
22,0.06,55800
23,0.08,56080
24,0.06,55400
25,0.07,55540
26,0.06,53228
27,0.06,55524
28,0.06,56452
29,0.06,56072
30,0.05,55660
31,0.06,55408
32,0.06,55664
33,0.06,53756
34,0.07,53228
35,0.06,55400
36,0.07,56316
37,0.06,40296
38,0.06,55672
39,0.06,56304
40,0.05,53628
41,0.05,53488
42,0.06,53360
43,0.07,55400
44,0.05,55428
45,0.05,55420
46,0.06,53360
47,0.05,55412
48,0.07,56176
49,0.05,55916
50,0.06,53240
51,0.07,53480
52,0.08,55748
53,0.06,55504
54,0.07,55912
55,0.06,53244
56,0.09,55684
57,0.05,53740
58,0.05,55640
59,0.06,53484
60,0.06,55792
61,0.06,56044
62,0.06,53368
63,0.05,53252
64,0.05,53088
65,0.06,56052
66,0.06,53744
67,0.06,55784
68,0.06,55912
69,0.06,53492
70,0.06,53616
71,0.06,53488
72,0.06,53484
73,0.06,53240
74,0.06,53244
75,0.06,55932
76,0.06,55884
77,0.05,55412
78,0.06,53500
79,0.06,53356
80,0.05,55416
81,0.05,53372
82,0.05,55792
83,0.05,55420
84,0.05,55556
85,0.05,53488
86,0.05,53412
87,0.06,55916
88,0.06,53500
89,0.06,55676
90,0.06,55912
91,0.05,53104
92,0.06,53444
93,0.07,55788
94,0.06,53360
95,0.06,55404
96,0.05,55916
97,0.06,53484
98,0.07,55932
99,0.07,55548
100,0.06,55152
