Iteración,Tiempo(s),Memoria(KB)
1,0.07,55916
2,0.05,53368
3,0.05,53500
4,0.07,56560
5,0.06,55932
6,0.07,53608
7,0.07,56272
8,0.06,55408
9,0.11,55888
10,0.06,56208
11,0.06,53456
12,0.05,55664
13,0.07,56312
14,0.06,55792
15,0.06,53228
16,0.06,55540
17,0.06,53500
18,0.06,53368
19,0.06,55664
20,0.06,53316
21,0.07,53244
22,0.06,53356
23,0.06,55660
24,0.06,55540
25,0.07,55660
26,0.05,53100
27,0.06,53232
28,0.06,56060
29,0.06,53572
30,0.06,53356
31,0.06,56428
32,0.06,56336
33,0.06,53488
34,0.06,53244
35,0.06,55804
36,0.05,53244
37,0.07,55804
38,0.07,56060
39,0.05,53380
40,0.05,53228
41,0.07,53292
42,0.06,55940
43,0.06,55676
44,0.05,53456
45,0.06,53104
46,0.06,52732
47,0.06,55676
48,0.05,53232
49,0.07,55928
50,0.06,53364
51,0.06,56060
52,0.06,56184
53,0.06,56060
54,0.06,55408
55,0.07,55920
56,0.06,53236
57,0.08,56004
58,0.05,55724
59,0.06,53456
60,0.06,56308
61,0.05,53508
62,0.07,56060
63,0.06,53372
64,0.05,55788
65,0.06,53356
66,0.05,53360
67,0.06,53488
68,0.06,53280
69,0.06,53068
70,0.06,53488
71,0.07,53624
72,0.06,56312
73,0.06,53232
74,0.06,53500
75,0.06,52980
76,0.06,56004
77,0.05,55664
78,0.07,56060
79,0.05,53356
80,0.06,55656
81,0.06,56048
82,0.06,53372
83,0.05,55568
84,0.07,55684
85,0.05,53368
86,0.06,53484
87,0.06,53228
88,0.06,55760
89,0.06,53628
90,0.06,55920
91,0.06,53488
92,0.06,53516
93,0.06,53508
94,0.06,55408
95,0.06,53244
96,0.06,53328
97,0.05,55660
98,0.06,55664
99,0.06,56040
100,0.05,53480
