Iteración,Tiempo(s),Memoria(KB)
1,0.06,53364
2,0.06,56528
3,0.07,55536
4,0.06,55804
5,0.06,53352
6,0.07,55712
7,0.07,56152
8,0.06,53712
9,0.07,55524
10,0.07,55556
11,0.06,53104
12,0.06,53496
13,0.08,55756
14,0.07,56044
15,0.06,55912
16,0.07,56048
17,0.06,55924
18,0.06,40700
19,0.07,55784
20,0.06,53240
21,0.05,55792
22,0.05,53112
23,0.07,56168
24,0.05,53744
25,0.08,55792
26,0.06,53344
27,0.09,56444
28,0.06,55952
29,0.06,40528
30,0.06,53372
31,0.06,40516
32,0.05,53244
33,0.07,56180
34,0.07,55928
35,0.06,40444
36,0.07,56060
37,0.05,53500
38,0.05,53232
39,0.06,53484
40,0.06,56056
41,0.05,55788
42,0.06,53500
43,0.07,55916
44,0.06,56060
45,0.06,53368
46,0.06,53224
47,0.06,53372
48,0.06,53628
49,0.06,55916
50,0.06,53372
51,0.05,53104
52,0.05,55788
53,0.06,56048
54,0.05,53372
55,0.06,53496
56,0.06,53016
57,0.06,55656
58,0.06,53580
59,0.06,55812
60,0.06,55920
61,0.06,56104
62,0.06,53420
63,0.05,53500
64,0.06,53356
65,0.07,55672
66,0.07,55888
67,0.07,55920
68,0.05,55544
69,0.07,55792
70,0.05,53372
71,0.07,56432
72,0.05,55660
73,0.07,56188
74,0.06,53356
75,0.07,53464
76,0.05,53356
77,0.05,55916
78,0.06,55664
79,0.05,53500
80,0.06,56044
81,0.05,53496
82,0.06,55792
83,0.05,53884
84,0.06,53244
85,0.05,56316
86,0.05,53500
87,0.05,53328
88,0.06,53244
89,0.06,55536
90,0.05,53628
91,0.07,55056
92,0.06,53096
93,0.06,56296
94,0.07,56048
95,0.05,53316
96,0.06,56068
97,0.05,53744
98,0.05,55660
99,0.05,53488
100,0.06,55536
