Iteración,Tiempo(s),Memoria(KB)
1,0.07,55760
2,0.05,55548
3,0.05,56176
4,0.06,53224
5,0.06,53420
6,0.06,56304
7,0.07,55772
8,0.06,53224
9,0.07,40176
10,0.07,53356
11,0.07,56188
12,0.07,55916
13,0.06,56056
14,0.06,56044
15,0.06,55928
16,0.07,55920
17,0.07,56324
18,0.06,55536
19,0.06,53356
20,0.07,53548
21,0.06,55020
22,0.07,56068
23,0.06,53452
24,0.06,53752
25,0.07,53328
26,0.06,53364
27,0.06,55888
28,0.06,53572
29,0.06,55408
30,0.06,53456
31,0.05,55920
32,0.06,53116
33,0.06,53456
34,0.07,53488
35,0.06,53084
36,0.05,53116
37,0.06,55932
38,0.06,53612
39,0.06,55256
40,0.07,55932
41,0.06,53620
42,0.06,53112
43,0.06,53356
44,0.06,55804
45,0.06,55536
46,0.05,55916
47,0.06,53356
48,0.05,56056
49,0.06,53236
50,0.07,53188
51,0.07,53276
52,0.06,40524
53,0.06,53364
54,0.05,53612
55,0.05,55796
56,0.07,55800
57,0.06,53116
58,0.07,53500
59,0.06,40556
60,0.05,55784
61,0.05,53544
62,0.07,55548
63,0.05,53616
64,0.06,55624
65,0.07,52988
66,0.06,56176
67,0.07,56280
68,0.05,53252
69,0.07,55920
70,0.06,53360
71,0.05,55404
72,0.05,55532
73,0.06,55772
74,0.05,55548
75,0.06,53480
76,0.06,55804
77,0.05,53228
78,0.05,55544
79,0.06,55380
80,0.07,56048
81,0.05,53372
82,0.05,55412
83,0.06,55556
84,0.06,56060
85,0.06,55532
86,0.06,53484
87,0.05,55576
88,0.05,53244
89,0.06,53484
90,0.09,53244
91,0.05,55404
92,0.06,53364
93,0.05,53636
94,0.06,53244
95,0.06,53456
96,0.06,53236
97,0.06,56304
98,0.06,56308
99,0.06,53116
100,0.06,53352
