Iteración,Tiempo(s),Memoria(KB)
1,0.06,56304
2,0.07,55928
3,0.06,53244
4,0.06,53548
5,0.06,55532
6,0.05,53224
7,0.07,55812
8,0.06,53484
9,0.06,53272
10,0.06,56040
11,0.06,55912
12,0.06,55420
13,0.06,55552
14,0.06,55824
15,0.06,53228
16,0.07,55684
17,0.06,53372
18,0.09,55912
19,0.06,55536
20,0.06,55784
21,0.06,55548
22,0.06,53372
23,0.06,53200
24,0.06,55412
25,0.07,55792
26,0.06,53616
27,0.06,53224
28,0.07,53352
29,0.06,56304
30,0.07,53496
31,0.06,53488
32,0.07,56296
33,0.05,55420
34,0.06,55920
35,0.06,53252
36,0.06,55532
37,0.07,55788
38,0.06,53500
39,0.07,55548
40,0.06,53104
41,0.05,53628
42,0.06,56060
43,0.05,55528
44,0.06,55660
45,0.05,55404
46,0.06,55656
47,0.07,55812
48,0.07,56048
49,0.06,53244
50,0.06,56316
51,0.06,53196
52,0.07,55288
53,0.05,53324
54,0.07,55932
55,0.07,56044
56,0.06,55300
57,0.07,56260
58,0.06,55512
59,0.06,56060
60,0.06,55544
61,0.05,53360
62,0.06,55784
63,0.05,55920
64,0.05,56016
65,0.06,53104
66,0.08,56016
67,0.06,56188
68,0.06,56048
69,0.06,53232
70,0.06,53080
71,0.07,56312
72,0.06,55540
73,0.06,55628
74,0.05,40176
75,0.06,56188
76,0.06,53360
77,0.05,53756
78,0.07,55664
79,0.08,53500
80,0.06,55932
81,0.06,55532
82,0.05,53624
83,0.06,56132
84,0.05,55676
85,0.06,56440
86,0.06,53620
87,0.07,55660
88,0.10,55404
89,0.06,55660
90,0.07,55808
91,0.05,53380
92,0.06,55428
93,0.06,53428
94,0.07,55940
95,0.05,55284
96,0.06,56184
97,0.06,55664
98,0.07,56048
99,0.06,55548
100,0.05,53468
