Iteración,Tiempo(s),Memoria(KB)
1,0.07,56444
2,0.07,55420
3,0.06,53756
4,0.06,55164
5,0.06,55516
6,0.06,55664
7,0.05,53484
8,0.05,53756
9,0.06,53484
10,0.06,53228
11,0.06,56144
12,0.07,56044
13,0.05,56172
14,0.07,55640
15,0.05,55404
16,0.06,54892
17,0.07,53628
18,0.06,53364
19,0.06,55856
20,0.06,53244
21,0.06,55228
22,0.06,53372
23,0.07,56176
24,0.06,56232
25,0.06,53244
26,0.06,53360
27,0.07,55036
28,0.06,56412
29,0.06,53616
30,0.05,55932
31,0.06,55724
32,0.06,56304
33,0.06,52988
34,0.06,53872
35,0.05,53168
36,0.07,55784
37,0.05,55912
38,0.06,55032
39,0.06,53232
40,0.06,53360
41,0.06,56188
42,0.05,55532
43,0.05,56040
44,0.06,56104
45,0.10,56184
46,0.06,53252
47,0.06,53364
48,0.06,56056
49,0.06,56140
50,0.05,40408
51,0.06,56172
52,0.06,56432
53,0.06,56312
54,0.07,56172
55,0.06,40444
56,0.05,53492
57,0.06,55788
58,0.06,55452
59,0.07,55708
60,0.08,55152
61,0.07,55676
62,0.05,55804
63,0.06,55916
64,0.06,56104
65,0.06,56056
66,0.06,56272
67,0.07,52716
68,0.05,56308
69,0.06,53372
70,0.07,53392
71,0.07,56104
72,0.07,55920
73,0.06,55536
74,0.06,53164
75,0.07,53364
76,0.06,53224
77,0.05,53232
78,0.06,40268
79,0.07,54908
80,0.06,55792
81,0.09,56004
82,0.07,55416
83,0.06,55792
84,0.07,55804
85,0.07,56308
86,0.06,55420
87,0.07,56324
88,0.06,53608
89,0.07,55792
90,0.06,53108
91,0.07,53372
92,0.07,53444
93,0.06,55420
94,0.07,55164
95,0.06,55660
96,0.07,53628
97,0.08,55804
98,0.07,55540
99,0.07,56068
100,0.06,53100
