Iteración,Tiempo(s),Memoria(KB)
1,0.06,52988
2,0.06,55412
3,0.07,55664
4,0.07,52912
5,0.07,40684
6,0.07,53368
7,0.06,53244
8,0.06,53360
9,0.07,55408
10,0.07,55788
11,0.06,53224
12,0.06,55660
13,0.07,55344
14,0.06,53488
15,0.06,55404
16,0.06,53488
17,0.06,53628
18,0.06,53500
19,0.09,55704
20,0.08,55804
21,0.05,53276
22,0.05,55532
23,0.07,56052
24,0.09,55428
25,0.06,53236
26,0.05,56168
27,0.06,55896
28,0.06,53240
29,0.06,53372
30,0.06,56172
31,0.06,53372
32,0.05,55420
33,0.06,55548
34,0.07,55788
35,0.05,55664
36,0.05,53328
37,0.06,53500
38,0.05,53372
39,0.05,53368
40,0.06,53500
41,0.07,56052
42,0.06,53316
43,0.06,55788
44,0.06,53480
45,0.06,56044
46,0.06,56428
47,0.06,40556
48,0.06,55796
49,0.05,56124
50,0.07,55804
51,0.06,55672
52,0.07,56044
53,0.07,55724
54,0.07,53124
55,0.07,55788
56,0.07,55804
57,0.06,55924
58,0.05,55576
59,0.06,40560
60,0.05,55536
61,0.05,55288
62,0.06,55440
63,0.06,53360
64,0.07,55920
65,0.06,55804
66,0.05,55660
67,0.07,53244
68,0.07,55920
69,0.08,56304
70,0.05,53608
71,0.05,56044
72,0.06,53360
73,0.06,55496
74,0.05,53500
75,0.06,55528
76,0.06,53228
77,0.05,55932
78,0.05,53228
79,0.06,53356
80,0.07,55784
81,0.06,53352
82,0.08,55556
83,0.06,53356
84,0.07,53124
85,0.07,53232
86,0.05,55668
87,0.06,55376
88,0.05,53628
89,0.06,55932
90,0.05,53488
91,0.06,53452
92,0.05,53488
93,0.06,52840
94,0.07,55788
95,0.06,56208
96,0.06,53104
97,0.06,53616
98,0.06,55920
99,0.05,52884
100,0.05,53624
