Iteración,Tiempo(s),Memoria(KB)
1,0.06,56440
2,0.05,55672
3,0.06,56316
4,0.05,40688
5,0.06,53324
6,0.05,55660
7,0.06,53488
8,0.05,53456
9,0.06,54928
10,0.05,53612
11,0.06,55672
12,0.06,56172
13,0.07,56152
14,0.07,56068
15,0.06,55980
16,0.06,53336
17,0.06,53224
18,0.07,55784
19,0.07,55796
20,0.05,40316
21,0.06,55284
22,0.07,55676
23,0.05,55932
24,0.06,53000
25,0.06,54904
26,0.05,53240
27,0.06,53372
28,0.06,56060
29,0.06,55900
30,0.06,56316
31,0.05,53484
32,0.05,40560
33,0.06,56168
34,0.06,55804
35,0.07,55888
36,0.05,53488
37,0.07,55640
38,0.07,55672
39,0.07,53360
40,0.06,56052
41,0.05,40176
42,0.06,56052
43,0.06,55632
44,0.06,53620
45,0.06,56040
46,0.05,56304
47,0.06,56176
48,0.06,55788
49,0.06,53380
50,0.07,56040
51,0.06,56188
52,0.06,56580
53,0.06,55916
54,0.05,55548
55,0.05,56060
56,0.07,56060
57,0.05,53240
58,0.06,55792
59,0.06,56052
60,0.06,53100
61,0.06,56172
62,0.10,55404
63,0.07,56176
64,0.07,53500
65,0.05,52940
66,0.07,56176
67,0.05,55536
68,0.05,55784
69,0.06,55748
70,0.06,53360
71,0.06,55792
72,0.06,55544
73,0.06,53584
74,0.05,53356
75,0.06,56044
76,0.06,56372
77,0.05,56040
78,0.07,56060
79,0.07,40044
80,0.06,53228
81,0.06,55400
82,0.06,53496
83,0.05,53488
84,0.06,56300
85,0.06,56172
86,0.06,55528
87,0.06,53488
88,0.06,56196
89,0.05,53228
90,0.06,55772
91,0.05,53612
92,0.06,53756
93,0.06,53096
94,0.05,53756
95,0.05,53628
96,0.06,53372
97,0.05,53608
98,0.05,55420
99,0.05,56176
100,0.06,53240
