Iteración,Tiempo(s),Memoria(KB)
1,0.08,55788
2,0.07,55928
3,0.06,56060
4,0.06,55980
5,0.06,56040
6,0.06,53612
7,0.06,56940
8,0.07,56560
9,0.07,56944
10,0.07,55536
11,0.06,56436
12,0.05,56188
13,0.05,55664
14,0.07,56668
15,0.07,55400
16,0.08,56108
17,0.06,56452
18,0.06,56572
19,0.07,57192
20,0.05,55916
21,0.06,56048
22,0.05,55656
23,0.06,55672
24,0.07,57668
25,0.05,55932
26,0.06,53968
27,0.07,55940
28,0.07,56048
29,0.06,56304
30,0.06,56172
31,0.07,56060
32,0.08,58108
33,0.06,56428
34,0.07,56424
35,0.06,55548
36,0.07,55916
37,0.06,56568
38,0.07,55844
39,0.07,55828
40,0.05,55788
41,0.06,56300
42,0.08,56908
43,0.07,57068
44,0.06,56172
45,0.07,55756
46,0.06,54908
47,0.06,56388
48,0.10,55928
49,0.07,56296
50,0.07,56816
51,0.07,57084
52,0.06,56060
53,0.06,56176
54,0.07,56044
55,0.07,55792
56,0.06,56172
57,0.07,55684
58,0.08,56424
59,0.06,55932
60,0.06,55788
61,0.06,53756
62,0.07,56012
63,0.09,56176
64,0.07,55932
65,0.07,56568
66,0.07,55676
67,0.07,55660
68,0.06,55676
69,0.07,55788
70,0.07,56188
71,0.06,56184
72,0.07,56312
73,0.07,56700
74,0.06,55924
75,0.06,56048
76,0.06,56060
77,0.08,56316
78,0.06,56944
79,0.06,56300
80,0.05,56060
81,0.06,56188
82,0.06,56548
83,0.06,55704
84,0.06,56040
85,0.06,56048
86,0.06,55932
87,0.06,56300
88,0.07,55792
89,0.07,56280
90,0.06,55940
91,0.07,55548
92,0.06,56432
93,0.06,56180
94,0.06,55792
95,0.06,56180
96,0.07,55956
97,0.06,56056
98,0.06,53756
99,0.08,55792
100,0.07,55676
