Iteración,Tiempo(s),Memoria(KB)
1,0.07,53236
2,0.06,53244
3,0.05,53472
4,0.06,52972
5,0.06,40176
6,0.06,55468
7,0.07,55804
8,0.06,53372
9,0.06,56308
10,0.07,55884
11,0.06,55804
12,0.05,56188
13,0.06,53484
14,0.05,55408
15,0.05,53372
16,0.06,52908
17,0.06,53244
18,0.06,53228
19,0.06,53488
20,0.06,55276
21,0.06,55664
22,0.07,55596
23,0.06,56196
24,0.07,55784
25,0.06,53372
26,0.06,55876
27,0.06,53360
28,0.06,55408
29,0.06,55676
30,0.06,56172
31,0.07,55788
32,0.05,55664
33,0.06,53624
34,0.05,53244
35,0.06,40516
36,0.06,55932
37,0.05,53224
38,0.05,55548
39,0.06,55920
40,0.06,53484
41,0.05,53040
42,0.05,53244
43,0.06,53608
44,0.06,53496
45,0.05,53616
46,0.06,53500
47,0.06,53500
48,0.06,53352
49,0.06,53196
50,0.05,55532
51,0.06,55672
52,0.07,53484
53,0.06,56188
54,0.06,53244
55,0.06,53244
56,0.06,53368
57,0.05,53232
58,0.06,55800
59,0.06,53104
60,0.07,56060
61,0.05,55664
62,0.08,53436
63,0.06,56060
64,0.05,56304
65,0.06,55912
66,0.06,56160
67,0.07,53484
68,0.06,55404
69,0.05,53488
70,0.05,53628
71,0.06,53500
72,0.07,55696
73,0.06,40268
74,0.06,53112
75,0.06,55556
76,0.06,53352
77,0.06,55416
78,0.06,53616
79,0.06,53364
80,0.06,56144
81,0.05,55420
82,0.05,53340
83,0.06,52988
84,0.07,55920
85,0.06,53480
86,0.05,55552
87,0.06,53500
88,0.06,55784
89,0.07,55548
90,0.06,53184
91,0.05,53352
92,0.05,55556
93,0.05,55916
94,0.07,55788
95,0.05,53492
96,0.06,55768
97,0.06,53612
98,0.06,56176
99,0.05,55512
100,0.06,55664
