Iteración,Tiempo(s),Memoria(KB)
1,0.07,55932
2,0.07,56308
3,0.06,52988
4,0.05,53372
5,0.06,56432
6,0.07,53432
7,0.06,56428
8,0.06,55812
9,0.07,55788
10,0.07,56308
11,0.06,55664
12,0.11,55940
13,0.06,53500
14,0.06,53316
15,0.06,55812
16,0.06,53232
17,0.07,53360
18,0.06,53496
19,0.06,53544
20,0.07,55672
21,0.06,53104
22,0.07,55924
23,0.05,53620
24,0.06,53108
25,0.06,53116
26,0.06,55404
27,0.06,56060
28,0.05,55536
29,0.06,53208
30,0.05,40580
31,0.06,55032
32,0.05,53756
33,0.06,53372
34,0.07,53232
35,0.07,55404
36,0.06,55804
37,0.06,56424
38,0.07,55916
39,0.05,55536
40,0.06,56308
41,0.07,56172
42,0.06,52988
43,0.06,53624
44,0.07,53484
45,0.06,55660
46,0.06,53456
47,0.06,55788
48,0.07,56060
49,0.08,55916
50,0.07,56060
51,0.06,55300
52,0.06,53288
53,0.06,53116
54,0.05,55952
55,0.06,53372
56,0.08,56172
57,0.06,55876
58,0.06,53600
59,0.08,55932
60,0.06,55664
61,0.06,53252
62,0.05,53116
63,0.05,55664
64,0.05,53068
65,0.07,55784
66,0.07,55784
67,0.06,53364
68,0.06,53356
69,0.07,55792
70,0.06,55916
71,0.07,55800
72,0.06,53100
73,0.06,55668
74,0.05,55532
75,0.06,53380
76,0.06,55416
77,0.06,56068
78,0.06,53412
79,0.07,55788
80,0.06,55668
81,0.06,53488
82,0.08,55148
83,0.05,53236
84,0.05,53480
85,0.07,56304
86,0.06,53500
87,0.05,55812
88,0.06,53616
89,0.06,53512
90,0.05,53488
91,0.06,55792
92,0.06,53548
93,0.07,53488
94,0.06,55912
95,0.06,56048
96,0.07,56048
97,0.06,53232
98,0.07,55920
99,0.06,53420
100,0.06,56196
