Iteración,Tiempo(s),Memoria(KB)
1,0.06,56312
2,0.06,55832
3,0.06,56300
4,0.07,56572
5,0.06,56444
6,0.08,56208
7,0.06,55656
8,0.06,56528
9,0.07,56316
10,0.06,55788
11,0.07,55812
12,0.06,55412
13,0.07,55700
14,0.07,55996
15,0.06,56144
16,0.06,55900
17,0.07,55932
18,0.07,56044
19,0.06,56196
20,0.06,56316
21,0.06,56048
22,0.06,56048
23,0.06,55504
24,0.08,56820
25,0.07,56176
26,0.07,55920
27,0.07,55760
28,0.05,56176
29,0.06,55920
30,0.06,53872
31,0.08,57324
32,0.06,56428
33,0.06,56144
34,0.06,55804
35,0.06,56056
36,0.07,55548
37,0.06,56188
38,0.05,55428
39,0.07,56280
40,0.08,55548
41,0.06,56316
42,0.07,55804
43,0.07,56700
44,0.07,56016
45,0.07,55804
46,0.07,56424
47,0.07,58108
48,0.06,56260
49,0.07,55916
50,0.06,56180
51,0.06,56176
52,0.05,55676
53,0.05,55548
54,0.07,55656
55,0.06,56048
56,0.07,55804
57,0.05,55796
58,0.07,57412
59,0.07,53740
60,0.06,55732
61,0.07,55528
62,0.06,55796
63,0.06,56580
64,0.06,56188
65,0.05,56300
66,0.07,55960
67,0.06,55572
68,0.07,56176
69,0.06,56048
70,0.07,56040
71,0.07,56784
72,0.08,55788
73,0.06,56152
74,0.06,56180
75,0.06,55404
76,0.06,55796
77,0.06,56060
78,0.06,56300
79,0.09,55984
80,0.07,55920
81,0.06,56316
82,0.06,53488
83,0.07,57584
84,0.06,56296
85,0.07,55948
86,0.06,56300
87,0.07,55544
88,0.07,55788
89,0.05,55932
90,0.07,55760
91,0.05,55660
92,0.06,56680
93,0.07,56432
94,0.07,56812
95,0.06,55532
96,0.06,56940
97,0.06,55796
98,0.06,56304
99,0.06,55656
100,0.07,55660
