Iteración,Tiempo(s),Memoria(KB)
1,0.06,56184
2,0.06,55620
3,0.06,55376
4,0.05,53244
5,0.06,53360
6,0.07,56188
7,0.07,55784
8,0.12,55788
9,0.10,53360
10,0.07,53496
11,0.06,53324
12,0.06,53500
13,0.06,53616
14,0.07,55804
15,0.06,53352
16,0.07,55276
17,0.07,53368
18,0.07,55656
19,0.06,53244
20,0.06,55408
21,0.06,56044
22,0.06,55540
23,0.07,55660
24,0.06,53420
25,0.05,55660
26,0.06,53540
27,0.07,55548
28,0.06,55532
29,0.06,53372
30,0.06,55280
31,0.06,53224
32,0.07,53356
33,0.05,55548
34,0.06,53484
35,0.06,53496
36,0.06,53488
37,0.05,55660
38,0.05,53224
39,0.07,55660
40,0.05,53368
41,0.06,55924
42,0.06,53116
43,0.07,55792
44,0.07,55924
45,0.05,55420
46,0.06,53096
47,0.07,53500
48,0.06,55660
49,0.06,56048
50,0.07,55916
51,0.06,53356
52,0.07,56296
53,0.07,55916
54,0.06,56016
55,0.05,55800
56,0.07,56300
57,0.05,55536
58,0.07,56212
59,0.05,56172
60,0.06,53256
61,0.07,55664
62,0.06,56056
63,0.05,55656
64,0.05,56048
65,0.05,53360
66,0.07,56172
67,0.06,53480
68,0.06,53616
69,0.06,56080
70,0.06,55676
71,0.06,53636
72,0.05,53740
73,0.06,53372
74,0.07,55788
75,0.06,53624
76,0.07,55852
77,0.06,53628
78,0.06,53380
79,0.06,56060
80,0.06,56048
81,0.06,56188
82,0.07,55784
83,0.05,53612
84,0.06,55784
85,0.05,53488
86,0.06,56316
87,0.06,56052
88,0.07,56060
89,0.05,53244
90,0.06,53484
91,0.06,55920
92,0.07,55792
93,0.06,56060
94,0.07,55788
95,0.06,53320
96,0.07,53244
97,0.07,53236
98,0.07,55724
99,0.06,53356
100,0.05,53488
