Iteración,Tiempo(s),Memoria(KB)
1,0.06,53100
2,0.06,56564
3,0.06,53372
4,0.07,55288
5,0.07,56172
6,0.06,55292
7,0.06,55792
8,0.05,55532
9,0.05,53488
10,0.06,55920
11,0.06,53484
12,0.06,53744
13,0.06,53492
14,0.06,56188
15,0.06,55036
16,0.06,54012
17,0.06,55544
18,0.06,53240
19,0.06,40056
20,0.07,54980
21,0.06,53112
22,0.05,55276
23,0.06,55672
24,0.06,55920
25,0.05,55544
26,0.07,55792
27,0.05,55400
28,0.07,55788
29,0.08,55660
30,0.06,56188
31,0.05,53244
32,0.07,55788
33,0.06,54648
34,0.06,40432
35,0.06,53488
36,0.07,56188
37,0.06,54908
38,0.06,55916
39,0.06,55792
40,0.06,53356
41,0.05,55032
42,0.06,40304
43,0.06,53740
44,0.06,56176
45,0.05,40556
46,0.07,56052
47,0.06,55804
48,0.06,53228
49,0.05,53480
50,0.05,53456
51,0.06,55672
52,0.06,55912
53,0.05,55020
54,0.06,55408
55,0.05,55640
56,0.06,56044
57,0.05,53484
58,0.10,53180
59,0.07,55932
60,0.06,53368
61,0.06,55420
62,0.06,53488
63,0.06,53356
64,0.07,53228
65,0.05,53488
66,0.06,56040
67,0.06,55932
68,0.07,55812
69,0.07,53500
70,0.06,56188
71,0.06,55932
72,0.06,55708
73,0.07,55928
74,0.05,55920
75,0.05,55152
76,0.06,56048
77,0.07,55920
78,0.06,55664
79,0.05,53236
80,0.05,53884
81,0.07,56068
82,0.05,53480
83,0.06,53612
84,0.06,55168
85,0.07,56436
86,0.07,55024
87,0.06,53492
88,0.07,56052
89,0.06,56184
90,0.06,55152
91,0.05,40564
92,0.07,55916
93,0.06,53612
94,0.05,55544
95,0.06,56056
96,0.06,53648
97,0.07,55536
98,0.06,56176
99,0.05,55364
100,0.06,52980
