Iteración,Tiempo(s),Memoria(KB)
1,0.06,53252
2,0.06,55824
3,0.07,55824
4,0.07,56304
5,0.06,55408
6,0.06,56060
7,0.05,53240
8,0.06,53244
9,0.06,40432
10,0.06,53100
11,0.05,53244
12,0.06,53484
13,0.07,56044
14,0.06,55664
15,0.06,55932
16,0.07,56044
17,0.08,55384
18,0.08,55540
19,0.07,56060
20,0.06,53608
21,0.06,56296
22,0.06,53500
23,0.06,56708
24,0.11,55064
25,0.05,53752
26,0.06,56048
27,0.05,40552
28,0.07,53224
29,0.06,53224
30,0.06,55928
31,0.06,56296
32,0.07,53392
33,0.06,53500
34,0.07,55916
35,0.05,55664
36,0.06,55164
37,0.07,56300
38,0.05,53628
39,0.06,55644
40,0.06,55400
41,0.06,56444
42,0.06,53200
43,0.05,53484
44,0.06,56044
45,0.06,56044
46,0.07,56308
47,0.05,53616
48,0.07,56316
49,0.06,56188
50,0.06,56044
51,0.06,56068
52,0.05,55676
53,0.06,53372
54,0.07,55920
55,0.06,53388
56,0.06,56308
57,0.06,56184
58,0.06,55144
59,0.05,53484
60,0.06,55804
61,0.05,53628
62,0.06,53752
63,0.06,55036
64,0.06,55672
65,0.05,55656
66,0.06,56180
67,0.06,55676
68,0.05,55792
69,0.06,40188
70,0.06,53372
71,0.06,53116
72,0.05,55548
73,0.05,53280
74,0.07,55656
75,0.06,56524
76,0.07,55940
77,0.06,53620
78,0.06,56316
79,0.06,56440
80,0.06,55036
81,0.07,56144
82,0.06,55404
83,0.07,55044
84,0.07,55280
85,0.06,55676
86,0.07,55804
87,0.05,53612
88,0.06,53628
89,0.05,55660
90,0.06,53116
91,0.05,56172
92,0.06,55024
93,0.06,55676
94,0.05,53756
95,0.07,55952
96,0.07,56048
97,0.06,53572
98,0.07,53244
99,0.07,53496
100,0.08,56172
