Iteración,Tiempo(s),Memoria(KB)
1,0.06,55056
2,0.06,55924
3,0.06,55144
4,0.06,53452
5,0.07,53252
6,0.07,55788
7,0.06,56016
8,0.05,56316
9,0.06,56172
10,0.07,55920
11,0.07,55608
12,0.06,53116
13,0.06,56304
14,0.06,55792
15,0.06,55664
16,0.06,55164
17,0.06,53356
18,0.08,56176
19,0.06,53360
20,0.08,54896
21,0.06,53360
22,0.06,54104
23,0.06,53372
24,0.06,55184
25,0.06,53500
26,0.06,53116
27,0.05,53116
28,0.06,55960
29,0.05,40304
30,0.07,56048
31,0.05,53372
32,0.05,53628
33,0.06,56568
34,0.06,55172
35,0.07,55420
36,0.08,56216
37,0.07,56176
38,0.06,53232
39,0.05,53484
40,0.06,40316
41,0.06,53196
42,0.05,40296
43,0.06,55416
44,0.05,53060
45,0.09,53636
46,0.05,40700
47,0.06,55932
48,0.05,53596
49,0.06,55788
50,0.06,56040
51,0.06,53488
52,0.07,55672
53,0.05,53624
54,0.05,40700
55,0.05,53360
56,0.05,55540
57,0.06,55412
58,0.06,54904
59,0.06,55896
60,0.06,55676
61,0.06,56304
62,0.06,53628
63,0.07,55932
64,0.06,53252
65,0.06,53364
66,0.05,55940
67,0.06,56044
68,0.05,53500
69,0.06,55792
70,0.06,53740
71,0.06,55820
72,0.05,40316
73,0.07,55684
74,0.06,55788
75,0.06,56040
76,0.05,53104
77,0.06,40300
78,0.06,54908
79,0.05,53352
80,0.06,53228
81,0.05,53500
82,0.07,56184
83,0.07,56188
84,0.06,55440
85,0.07,53360
86,0.07,53336
87,0.05,53496
88,0.05,55036
89,0.05,40424
90,0.05,55536
91,0.07,56444
92,0.05,40572
93,0.06,40552
94,0.05,56040
95,0.06,54904
96,0.06,53488
97,0.06,53360
98,0.05,55540
99,0.06,55800
100,0.06,55916
