Iteración,Tiempo(s),Memoria(KB)
1,0.07,56196
2,0.06,56948
3,0.08,56564
4,0.07,56516
5,0.07,56428
6,0.06,55548
7,0.07,56316
8,0.08,56708
9,0.05,55688
10,0.06,56816
11,0.06,53872
12,0.06,56432
13,0.06,56560
14,0.06,56172
15,0.06,55920
16,0.06,56700
17,0.07,55892
18,0.07,55932
19,0.07,56644
20,0.07,56044
21,0.06,56444
22,0.06,55664
23,0.11,57220
24,0.06,53756
25,0.07,56828
26,0.10,56048
27,0.07,56060
28,0.09,57348
29,0.07,56068
30,0.09,56828
31,0.10,56236
32,0.10,56304
33,0.10,55568
34,0.06,55276
35,0.08,56468
36,0.07,56956
37,0.06,55812
38,0.06,56172
39,0.08,56428
40,0.06,53500
41,0.07,56188
42,0.07,55696
43,0.06,55924
44,0.07,55792
45,0.07,56172
46,0.07,55912
47,0.07,56188
48,0.08,55932
49,0.08,56184
50,0.08,55536
51,0.07,56040
52,0.06,55536
53,0.07,56428
54,0.07,56488
55,0.06,53872
56,0.07,56312
57,0.07,57208
58,0.06,56432
59,0.07,56828
60,0.06,56300
61,0.07,56052
62,0.08,55400
63,0.06,55928
64,0.07,56440
65,0.07,57304
66,0.07,54524
67,0.06,55792
68,0.06,56184
69,0.06,56428
70,0.06,55796
71,0.05,55920
72,0.06,56428
73,0.06,55924
74,0.07,56236
75,0.08,55536
76,0.06,56188
77,0.09,56060
78,0.06,55788
79,0.06,55500
80,0.06,55420
81,0.07,56432
82,0.06,56428
83,0.06,56692
84,0.07,56060
85,0.06,56428
86,0.06,56060
87,0.05,53740
88,0.06,57204
89,0.06,56688
90,0.07,56172
91,0.06,55912
92,0.07,56188
93,0.08,55676
94,0.06,56044
95,0.07,56688
96,0.06,56688
97,0.07,55924
98,0.07,56300
99,0.07,56688
100,0.06,55852
