Iteración,Tiempo(s),Memoria(KB)
1,0.10,55920
2,0.06,55792
3,0.06,55292
4,0.05,55912
5,0.06,52976
6,0.06,55656
7,0.06,53500
8,0.06,55540
9,0.07,53244
10,0.08,55532
11,0.06,53360
12,0.05,55784
13,0.06,53232
14,0.07,56232
15,0.06,55912
16,0.06,55928
17,0.05,55792
18,0.06,53360
19,0.05,53624
20,0.06,56172
21,0.06,53236
22,0.06,53764
23,0.07,53488
24,0.06,55288
25,0.07,53152
26,0.07,53488
27,0.06,56048
28,0.06,55532
29,0.06,55416
30,0.05,55504
31,0.05,53580
32,0.06,55660
33,0.06,53232
34,0.05,53488
35,0.05,53372
36,0.05,53232
37,0.08,55920
38,0.05,55672
39,0.05,55548
40,0.06,55852
41,0.06,53576
42,0.07,56060
43,0.05,53116
44,0.05,53352
45,0.06,55664
46,0.06,56188
47,0.05,56184
48,0.05,55668
49,0.06,53616
50,0.06,55676
51,0.07,55916
52,0.07,53548
53,0.05,55548
54,0.06,56060
55,0.06,55928
56,0.06,55660
57,0.05,55792
58,0.06,56184
59,0.06,55908
60,0.06,55420
61,0.07,55920
62,0.06,55920
63,0.06,55920
64,0.05,55792
65,0.05,55792
66,0.05,55548
67,0.06,53364
68,0.06,52980
69,0.06,55492
70,0.09,55736
71,0.06,53372
72,0.05,53352
73,0.06,53740
74,0.07,55916
75,0.05,53244
76,0.06,55804
77,0.05,53500
78,0.07,55804
79,0.06,55932
80,0.05,56060
81,0.06,53488
82,0.06,53244
83,0.06,56316
84,0.05,53356
85,0.06,55928
86,0.06,53232
87,0.06,53104
88,0.06,53628
89,0.05,53364
90,0.07,56176
91,0.06,53500
92,0.07,55952
93,0.06,55536
94,0.05,53368
95,0.06,53228
96,0.06,56060
97,0.06,53228
98,0.06,55672
99,0.06,53488
100,0.06,53484
