Archivo,Método,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
SpelReproTests.java,run,14,203,428,795,217,1223,9492.377157279598,27.413793103448278,260222.0634495614,14456.78130275341,1.3586517614023557,15,0
SpelReproTests.java,from,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,0
SpelReproTests.java,from,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,0
SpelReproTests.java,from,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,0
CacheNamespaceHandler.java,extractCacheManager,3,9,7,14,12,21,75.28421251514428,2.3333333333333335,175.66316253533665,9.75906458529648,0.010455204778755302,1,0
CacheNamespaceHandler.java,parseKeyGenerator,4,19,10,26,23,36,162.84823041805248,2.736842105263158,445.68989377572257,24.76054965420681,0.01944914897283001,2,0
AbstractSockJsIntegrationTests.java,awaitEvent,13,116,131,284,129,415,2909.65931100065,15.913793103448274,46303.7162767862,2572.428682043678,0.4298226632912761,15,0
SpringRunnerContextCacheTests.java,verifyInitialCacheState,1,6,1,6,7,7,19.651484454403228,0.5,9.825742227201614,0.5458745681778674,0.0015291696022456767,1,0
SpringRunnerContextCacheTests.java,verifyFinalCacheState,2,14,13,39,16,52,208.0,2.7857142857142856,579.4285714285714,32.19047619047619,0.02316747392106232,1,0
MetaAnnotationUtils.java,findAnnotationDescriptorForTypes,6,9,13,14,15,27,105.48604608143,4.666666666666667,492.2682150466734,27.348234169259634,0.020781645965528363,5,0
MetaAnnotationUtils.java,findAnnotationDescriptorForTypes,11,23,39,63,34,102,518.9212098075346,15.06521739130435,7817.660834709164,434.3144908171758,0.13129956739615914,7,0
MetaAnnotationUtils.java,assertNonEmptyAnnotationTypeArray,10,47,107,179,57,286,1668.206544051116,19.04255319148936,31766.911849484015,1764.8284360824453,0.33434544472050154,9,0
WebTestClient.java,bindToController,6,10,10,12,16,22,88.0,3.5999999999999996,316.79999999999995,17.599999999999998,0.015490622145572777,1,0
WebTestClient.java,bindToRouterFunction,5,10,10,12,15,22,85.95159310338741,3.0,257.85477931016226,14.325265517231237,0.013503992939902846,1,0
WebTestClient.java,bindToServer,7,134,174,341,141,515,3676.8689464853787,8.906716417910447,32748.82901216641,1819.3793895648005,0.34120018848848827,31,0
TestAnnotationUtils.java,getTimeout,3,12,9,16,15,25,97.67226489021297,2.0,195.34452978042594,10.85247387669033,0.011222240751633781,3,0
TestAnnotationUtils.java,getRepeatCount,3,11,9,15,14,24,91.3765181293825,2.0454545454545454,186.90651435555512,10.383695241975284,0.010896701082134082,2,0
RSocketRequester.java,wrap,6,48,48,119,54,167,961.0662128612992,7.4375,7147.929958155913,397.1072198975507,0.12368933960813214,21,0
SharedEntityManagerCreator.java,createSharedEntityManager,1,6,1,8,7,9,25.26619429851844,0.6666666666666666,16.844129532345626,0.9357849740192015,0.0021903379454711043,2,0
SharedEntityManagerCreator.java,createSharedEntityManager,4,8,5,11,12,16,57.3594000115385,2.75,157.73835003173087,8.763241668429494,0.009731286848828622,2,0
SharedEntityManagerCreator.java,createSharedEntityManager,8,14,20,25,22,45,200.67442283867837,7.142857142857143,1433.3887345619885,79.63270747566602,0.042376140827577305,2,0
SharedEntityManagerCreator.java,createSharedEntityManager,5,10,11,14,15,25,97.67226489021297,3.5,341.8529271157454,18.991829284208077,0.01629689799417688,2,0
SharedEntityManagerCreator.java,createSharedEntityManager,18,115,310,438,133,748,5277.35126175489,34.278260869565216,180898.42325076327,10049.912402820182,1.0661916236976956,52,0
MimeTypeUtils.java,parseMimeType,5,11,8,16,16,24,96.0,3.6363636363636367,349.0909090909091,19.393939393939394,0.016526127717418036,3,0
MimeTypeUtils.java,parseMimeTypeInternal,15,59,145,196,74,341,2117.423597679472,24.915254237288135,52756.147264217354,2930.8970702342976,0.46887901194855447,25,0
MimeTypeUtils.java,toString,9,45,69,116,54,185,1064.6541879002416,11.600000000000001,12349.988579642804,686.1104766468225,0.17809693657393855,9,0
MimeTypeUtils.java,initRandom,4,8,11,18,12,29,103.96391252091352,4.5,467.83760634411084,25.99097813022838,0.020088252774581244,3,0
MimeTypeUtils.java,generateMultipartBoundaryString,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,0
GenericCollectionTypeResolver.java,forMethodParameter,3,6,7,15,9,22,69.73835003173087,3.75,261.51881261899075,14.528822923277264,0.013631616800472117,2,0
DefaultConversionTests.java,valueOf,4,20,21,56,24,77,353.042112555529,5.6,1977.0358303109622,109.83532390616456,0.05250755211458935,1,0
DefaultConversionTests.java,findTestEntity,7,9,14,18,16,32,128.0,7.0,896.0,49.77777777777778,0.030980190579006413,1,0
Response.java,from,7,11,11,17,18,28,116.75790004038474,5.409090909090909,631.5540956729902,35.086338648499456,0.024536867397145865,1,0
Response.java,status,3,7,4,10,10,14,46.50699332842307,2.142857142857143,99.65784284662087,5.5365468248122705,0.007165058383377737,1,0
Response.java,status,2,3,2,5,5,7,16.253496664211536,1.6666666666666667,27.089161107019226,1.5049533948344014,0.0030066008967897778,1,0
Response.java,ok,2,5,2,5,7,7,19.651484454403228,1.0,19.651484454403228,1.0917491363557348,0.00242740543524258,1,0
Response.java,created,3,8,4,12,11,16,55.35090589819676,2.25,124.5395382709427,6.918863237274595,0.00831285578253799,1,0
Response.java,accepted,5,8,7,10,13,17,62.907475208398566,3.125,196.5858600262455,10.92143666812475,0.011269732209158166,1,0
