Clase,Promedio_Tiempo(s),Promedio_Memoria(KB)
Code.Java.Rare.Adivina,.0647,53739
Code.Java.Rare.Conversor,.0620,55309
Code.Java.Rare.Factorial,.0653,55905
Code.Java.Rare.Suma,.0633,54041
Code.Java.Rare.Tareas,.0740,58136
Code.Java.Refactored.Adivina,.0635,54364
Code.Java.Refactored.Conversor,.0633,55817
Code.Java.Refactored.Factorial,.0656,56053
Code.Java.Refactored.Suma,.0618,54944
Code.Java.Refactored.Tareas,.0789,58259
