Iteración,Tiempo(s),Memoria(KB)
1,0.12,55664
2,0.12,53484
3,0.11,55532
4,0.10,55408
5,0.12,40188
6,0.12,53372
7,0.12,53488
8,0.13,53500
9,0.11,53480
10,0.07,40300
11,0.05,53488
12,0.05,55660
13,0.05,55672
14,0.06,55408
15,0.07,53612
16,0.07,53356
17,0.08,53492
18,0.12,53236
19,0.12,53496
20,0.07,55676
21,0.07,55800
22,0.09,55920
23,0.10,53624
24,0.10,55676
25,0.07,53356
26,0.07,55660
27,0.10,56044
28,0.20,55684
29,0.07,53484
30,0.08,55640
31,0.10,56700
32,0.10,53748
33,0.10,53356
34,0.12,53736
35,0.12,53372
36,0.11,53328
37,0.11,53740
38,0.11,55804
39,0.13,53736
40,0.13,40552
41,0.13,55804
42,0.13,53480
43,0.07,53232
44,0.07,53188
45,0.08,55928
46,0.08,53356
47,0.10,55748
48,0.12,53500
49,0.12,55656
50,0.12,56316
51,0.07,55804
52,0.09,53500
53,0.09,53500
54,0.08,55656
55,0.08,56060
56,0.09,53244
57,0.10,56172
58,0.09,55792
59,0.10,55932
60,0.12,53116
61,0.16,55796
62,0.11,53500
63,0.13,55920
64,0.14,53460
65,0.13,53224
66,0.07,53356
67,0.09,56188
68,0.11,55912
69,0.13,56172
70,0.12,53616
71,0.10,56060
72,0.12,55792
73,0.13,53360
74,0.15,55896
75,0.13,53244
76,0.07,55800
77,0.08,55784
78,0.09,53624
79,0.12,53480
80,0.14,53488
81,0.11,55544
82,0.10,53232
83,0.10,55660
84,0.10,53500
85,0.08,53228
86,0.10,55788
87,0.12,55932
88,0.13,53364
89,0.15,56060
90,0.08,53364
91,0.07,53488
92,0.13,53484
93,0.12,53364
94,0.13,55672
95,0.12,53628
96,0.13,55920
97,0.10,55536
98,0.12,53616
99,0.13,53224
100,0.12,53756
