Iteración,Tiempo(s),Memoria(KB)
1,0.08,56132
2,0.08,53528
3,0.07,55664
4,0.06,55164
5,0.06,55500
6,0.08,55928
7,0.08,53336
8,0.09,55924
9,0.11,53228
10,0.10,40688
11,0.05,53484
12,0.05,56060
13,0.06,56184
14,0.06,55532
15,0.06,53328
16,0.09,55932
17,0.10,53484
18,0.14,53364
19,0.13,55420
20,0.15,40460
21,0.12,53612
22,0.05,55544
23,0.06,55792
24,0.08,53360
25,0.12,53364
26,0.15,55792
27,0.09,53492
28,0.14,53480
29,0.13,55548
30,0.11,53608
31,0.08,55504
32,0.09,53480
33,0.12,56424
34,0.13,55548
35,0.12,40432
36,0.14,55676
37,0.11,53372
38,0.07,55540
39,0.09,55676
40,0.10,55548
41,0.10,53336
42,0.12,55536
43,0.13,53488
44,0.10,53452
45,0.06,53380
46,0.05,55540
47,0.06,55548
48,0.10,55664
49,0.09,53360
50,0.08,53484
51,0.10,53616
52,0.10,55280
53,0.10,53360
54,0.07,56044
55,0.07,53500
56,0.11,40552
57,0.09,53360
58,0.11,53244
59,0.11,53368
60,0.09,55540
61,0.12,53628
62,0.15,56296
63,0.12,53356
64,0.13,53360
65,0.07,55912
66,0.08,53500
67,0.14,55536
68,0.15,53104
69,0.13,53464
70,0.05,55540
71,0.06,55528
72,0.07,55932
73,0.08,55784
74,0.14,53232
75,0.14,56060
76,0.12,53232
77,0.12,53244
78,0.11,55800
79,0.12,55772
80,0.13,53488
81,0.09,55404
82,0.12,53364
83,0.12,53228
84,0.13,56040
85,0.10,53212
86,0.06,55784
87,0.07,53116
88,0.08,55916
89,0.09,53492
90,0.12,53500
91,0.10,53484
92,0.10,53352
93,0.07,55520
94,0.09,55896
95,0.10,53500
96,0.10,53244
97,0.13,55280
98,0.12,55676
99,0.13,53368
100,0.14,53500
