Iteración,Tiempo(s),Memoria(KB)
1,0.08,55036
2,0.16,56048
3,0.06,53484
4,0.07,52976
5,0.16,56300
6,0.17,53232
7,0.18,56172
8,0.12,53096
9,0.08,53628
10,0.08,53232
11,0.09,53252
12,0.10,55764
13,0.10,55888
14,0.10,53884
15,0.10,55920
16,0.11,53484
17,0.09,53488
18,0.12,56040
19,0.14,53240
20,0.10,55656
21,0.08,53228
22,0.08,56048
23,0.08,55920
24,0.08,53660
25,0.11,56048
26,0.12,55164
27,0.17,55940
28,0.17,53244
29,0.16,55292
30,0.14,55792
31,0.08,56304
32,0.09,53628
33,0.10,53372
34,0.11,53500
35,0.11,53628
36,0.11,56296
37,0.08,55428
38,0.08,55548
39,0.08,53072
40,0.10,55684
41,0.09,53360
42,0.08,55548
43,0.09,56316
44,0.09,56300
45,0.19,53500
46,0.08,53456
47,0.11,53444
48,0.11,56172
49,0.06,53100
50,0.05,53244
51,0.07,53628
52,0.07,55920
53,0.05,53244
54,0.05,55032
55,0.05,53488
56,0.06,55536
57,0.06,55804
58,0.07,56004
59,0.07,55276
60,0.06,55148
61,0.07,53228
62,0.06,53480
63,0.17,55328
64,0.08,55932
65,0.14,53492
66,0.08,55556
67,0.13,53636
68,0.14,40444
69,0.17,53328
70,0.12,53500
71,0.06,56056
72,0.07,55404
73,0.08,53116
74,0.10,53436
75,0.10,40296
76,0.18,55916
77,0.19,55536
78,0.19,53612
79,0.17,53392
80,0.19,56168
81,0.12,53500
82,0.09,40052
83,0.08,55556
84,0.05,53376
85,0.05,56176
86,0.06,53224
87,0.08,53152
88,0.08,53492
89,0.14,53372
90,0.13,53384
91,0.09,55804
92,0.10,53240
93,0.13,55916
94,0.15,55792
95,0.10,53328
96,0.11,53372
97,0.15,56316
98,0.13,55932
99,0.09,53372
100,0.12,53500
