Iteración,Tiempo(s),Memoria(KB)
1,0.10,53356
2,0.16,55980
3,0.14,53372
4,0.08,53112
5,0.11,53496
6,0.11,53372
7,0.07,53368
8,0.07,56132
9,0.07,53624
10,0.07,53616
11,0.07,40524
12,0.07,53488
13,0.07,55664
14,0.07,53712
15,0.09,55932
16,0.08,53360
17,0.09,56068
18,0.09,55916
19,0.09,55932
20,0.09,56188
21,0.09,56044
22,0.10,53616
23,0.11,53228
24,0.13,53372
25,0.13,56172
26,0.11,53452
27,0.12,56188
28,0.07,55900
29,0.06,55664
30,0.08,55792
31,0.08,53364
32,0.09,52972
33,0.10,56048
34,0.11,55784
35,0.09,53356
36,0.14,56068
37,0.16,55300
38,0.14,56040
39,0.09,53612
40,0.15,55492
41,0.11,53116
42,0.06,53244
43,0.06,55636
44,0.07,55692
45,0.15,55812
46,0.15,56316
47,0.06,55548
48,0.07,53228
49,0.08,53480
50,0.19,56172
51,0.14,53756
52,0.08,53104
53,0.10,56152
54,0.09,55456
55,0.07,53744
56,0.06,56180
57,0.08,56188
58,0.07,53616
59,0.08,55916
60,0.14,53500
61,0.09,55920
62,0.12,55928
63,0.14,53100
64,0.19,55556
65,0.16,56432
66,0.10,53580
67,0.10,53380
68,0.11,55408
69,0.12,55784
70,0.13,55376
71,0.09,55792
72,0.09,52996
73,0.10,53360
74,0.11,40536
75,0.12,53700
76,0.11,53356
77,0.07,55548
78,0.07,53624
79,0.08,53480
80,0.09,55420
81,0.09,55664
82,0.11,53240
83,0.14,55548
84,0.09,55404
85,0.09,55428
86,0.11,55920
87,0.09,53364
88,0.09,55408
89,0.14,55888
90,0.07,55668
91,0.07,56048
92,0.06,55660
93,0.08,53232
94,0.14,53224
95,0.10,40316
96,0.09,53336
97,0.12,55924
98,0.15,56060
99,0.10,56172
100,0.08,55428
