Iteración,Tiempo(s),Memoria(KB)
1,0.08,56044
2,0.09,55792
3,0.10,56188
4,0.13,56516
5,0.17,57040
6,0.14,55420
7,0.16,56920
8,0.13,53492
9,0.16,53764
10,0.16,57072
11,0.12,53368
12,0.14,55660
13,0.14,53756
14,0.14,56040
15,0.17,56068
16,0.14,56552
17,0.12,56048
18,0.13,55800
19,0.15,56272
20,0.07,56304
21,0.08,58092
22,0.11,56440
23,0.11,55924
24,0.12,55912
25,0.12,56068
26,0.11,56376
27,0.12,55672
28,0.14,55788
29,0.14,56296
30,0.14,56056
31,0.12,55620
32,0.08,56304
33,0.07,56188
34,0.08,55876
35,0.10,56316
36,0.12,56272
37,0.15,56060
38,0.20,56816
39,0.14,55664
40,0.07,56680
41,0.07,56396
42,0.08,55920
43,0.15,56280
44,0.10,56252
45,0.10,56240
46,0.10,56184
47,0.11,55932
48,0.15,55796
49,0.10,55684
50,0.11,56444
51,0.11,56260
52,0.12,55784
53,0.08,56820
54,0.10,55784
55,0.10,53608
56,0.09,56312
57,0.08,56400
58,0.10,56944
59,0.12,56172
60,0.17,55756
61,0.16,57516
62,0.08,56052
63,0.09,56304
64,0.11,53624
65,0.13,53616
66,0.12,56312
67,0.14,57200
68,0.10,55780
69,0.11,56176
70,0.09,55784
71,0.08,56132
72,0.08,55536
73,0.10,56268
74,0.07,55668
75,0.07,56316
76,0.10,56316
77,0.15,57196
78,0.13,55540
79,0.09,56040
80,0.10,55596
81,0.10,56300
82,0.11,56316
83,0.11,53864
84,0.13,57080
85,0.16,56444
86,0.09,57680
87,0.06,56656
88,0.08,57340
89,0.09,55704
90,0.11,53664
91,0.11,55528
92,0.10,53604
93,0.12,53532
94,0.09,56180
95,0.11,56048
96,0.08,56060
97,0.09,56188
98,0.09,55932
99,0.09,55800
100,0.10,54132
