Iteración,Tiempo(s),Memoria(KB)
1,0.14,53316
2,0.12,55920
3,0.08,55804
4,0.11,53236
5,0.07,55532
6,0.08,53360
7,0.08,55420
8,0.10,53380
9,0.13,55932
10,0.14,55420
11,0.13,56044
12,0.13,53116
13,0.12,53608
14,0.09,53488
15,0.07,53368
16,0.06,55400
17,0.07,55556
18,0.09,55788
19,0.13,55792
20,0.12,53372
21,0.10,53628
22,0.13,53620
23,0.13,53488
24,0.06,56132
25,0.05,55916
26,0.06,55536
27,0.06,53500
28,0.08,53480
29,0.13,55720
30,0.12,53616
31,0.20,52972
32,0.13,55640
33,0.10,56044
34,0.13,55928
35,0.14,56044
36,0.13,56188
37,0.14,53612
38,0.14,53500
39,0.13,56304
40,0.08,55548
41,0.12,55416
42,0.13,56180
43,0.13,55672
44,0.12,55408
45,0.07,55916
46,0.08,53500
47,0.13,56188
48,0.12,53628
49,0.13,55916
50,0.13,53480
51,0.09,54256
52,0.09,55788
53,0.09,53624
54,0.07,53224
55,0.06,55480
56,0.06,55920
57,0.12,55788
58,0.15,55932
59,0.06,55788
60,0.06,53360
61,0.06,55792
62,0.06,55804
63,0.06,53240
64,0.13,53484
65,0.11,53628
66,0.10,53372
67,0.12,53624
68,0.13,53228
69,0.12,53756
70,0.13,53740
71,0.14,53196
72,0.11,55928
73,0.12,55932
74,0.13,56060
75,0.11,53356
76,0.07,55532
77,0.08,55800
78,0.07,55792
79,0.08,53500
80,0.08,53628
81,0.10,53224
82,0.12,53372
83,0.12,55804
84,0.13,56180
85,0.12,53228
86,0.12,53616
87,0.13,53616
88,0.12,53500
89,0.13,55024
90,0.13,56224
91,0.14,53476
92,0.13,55536
93,0.14,53368
94,0.14,56188
95,0.13,55544
96,0.13,53364
97,0.12,53500
98,0.12,55932
99,0.15,56060
100,0.14,55536
