Iteración,Tiempo(s),Memoria(KB)
1,0.11,56304
2,0.10,56088
3,0.14,55916
4,0.13,54900
5,0.16,56108
6,0.08,55932
7,0.09,56044
8,0.09,56176
9,0.09,55912
10,0.15,55812
11,0.07,55880
12,0.07,57336
13,0.07,56304
14,0.08,56304
15,0.10,55660
16,0.13,56372
17,0.16,56232
18,0.08,55884
19,0.09,56044
20,0.13,56316
21,0.15,56908
22,0.12,57604
23,0.09,56336
24,0.09,56188
25,0.12,56436
26,0.14,56428
27,0.11,55800
28,0.12,55784
29,0.14,56296
30,0.08,56316
31,0.07,55568
32,0.09,56172
33,0.09,55920
34,0.09,55664
35,0.12,53756
36,0.14,56428
37,0.07,56056
38,0.08,55912
39,0.08,56316
40,0.07,55804
41,0.10,55788
42,0.10,55928
43,0.15,55916
44,0.15,55788
45,0.11,56196
46,0.11,55748
47,0.06,53756
48,0.11,55948
49,0.09,58472
50,0.09,55976
51,0.12,56480
52,0.09,57084
53,0.06,55684
54,0.05,56428
55,0.06,56440
56,0.07,55920
57,0.06,56188
58,0.06,56700
59,0.07,55528
60,0.07,56172
61,0.08,56572
62,0.07,56700
63,0.05,56088
64,0.06,55420
65,0.06,53620
66,0.06,56432
67,0.07,55676
68,0.06,56344
69,0.07,55664
70,0.09,56580
71,0.06,55536
72,0.09,56188
73,0.11,55792
74,0.12,53484
75,0.15,55968
76,0.12,56056
77,0.05,56060
78,0.09,54908
79,0.06,56068
80,0.08,55804
81,0.14,56700
82,0.10,56080
83,0.09,56112
84,0.06,54000
85,0.07,56268
86,0.22,56748
87,0.18,55676
88,0.10,55924
89,0.09,55664
90,0.09,55500
91,0.09,56044
92,0.12,55936
93,0.15,56308
94,0.14,53244
95,0.06,56060
96,0.08,56820
97,0.07,56176
98,0.08,53636
99,0.07,55500
100,0.06,56572
