Iteración,Tiempo(s),Memoria(KB)
1,0.08,55760
2,0.08,55804
3,0.07,53360
4,0.08,56060
5,0.08,55664
6,0.08,55632
7,0.09,56080
8,0.15,55664
9,0.13,53488
10,0.08,53524
11,0.08,53372
12,0.08,53420
13,0.09,53360
14,0.14,55664
15,0.08,53740
16,0.08,55672
17,0.09,56188
18,0.11,56196
19,0.15,55428
20,0.07,53488
21,0.06,56208
22,0.05,55548
23,0.06,56020
24,0.05,55504
25,0.05,55684
26,0.05,55952
27,0.06,53436
28,0.06,53352
29,0.07,55676
30,0.07,53116
31,0.10,40444
32,0.10,53612
33,0.14,55544
34,0.14,53456
35,0.10,56096
36,0.12,55920
37,0.10,53636
38,0.08,53492
39,0.09,55484
40,0.09,55576
41,0.09,55804
42,0.09,53360
43,0.10,55428
44,0.10,53624
45,0.11,53032
46,0.08,53628
47,0.10,55792
48,0.09,53636
49,0.09,55556
50,0.13,53740
51,0.16,55940
52,0.14,56180
53,0.12,53196
54,0.12,53588
55,0.12,54908
56,0.12,53356
57,0.12,54908
58,0.08,53628
59,0.08,53628
60,0.09,55668
61,0.10,55888
62,0.15,53372
63,0.06,53232
64,0.05,53328
65,0.05,55660
66,0.05,53368
67,0.06,55784
68,0.07,56060
69,0.09,53616
70,0.13,53244
71,0.12,53188
72,0.06,53364
73,0.10,55920
74,0.06,55784
75,0.08,53744
76,0.09,55804
77,0.10,55528
78,0.12,55804
79,0.13,53484
80,0.10,56044
81,0.14,56400
82,0.08,55408
83,0.09,56316
84,0.15,56188
85,0.11,56132
86,0.13,56176
87,0.14,55792
88,0.12,53352
89,0.07,55532
90,0.09,55932
91,0.08,55940
92,0.08,55500
93,0.07,55548
94,0.07,55920
95,0.08,55784
96,0.07,55800
97,0.08,55508
98,0.10,53116
99,0.13,55812
100,0.11,53228
