Iteración,Tiempo(s),Memoria(KB)
1,0.07,40464
2,0.09,55616
3,0.23,40268
4,0.28,55556
5,0.19,52820
6,0.27,55940
7,0.19,53456
8,0.37,55812
9,0.33,55864
10,0.14,52996
11,0.13,55556
12,0.18,55484
13,0.11,53448
14,0.15,56324
15,0.17,56452
16,0.17,56444
17,0.16,55616
18,0.11,55896
19,0.15,55996
20,0.14,56444
21,0.11,55932
22,0.08,55916
23,0.12,55596
24,0.14,53380
25,0.10,53892
26,0.08,55620
27,0.10,53264
28,0.10,53252
29,0.15,55812
30,0.14,55800
31,0.15,55172
32,0.14,55812
33,0.07,53452
34,0.09,53500
35,0.11,56580
36,0.09,53616
37,0.12,56080
38,0.09,55308
39,0.13,55500
40,0.15,56512
41,0.21,56708
42,0.16,53252
43,0.12,55660
44,0.14,56052
45,0.13,55428
46,0.16,55512
47,0.16,55564
48,0.16,56056
49,0.15,55428
50,0.12,55684
51,0.10,53920
52,0.10,55792
53,0.10,53612
54,0.10,40496
55,0.10,53432
56,0.08,40452
57,0.09,55676
58,0.09,56448
59,0.08,55724
60,0.09,55668
61,0.09,55428
62,0.08,55748
63,0.09,55108
64,0.09,55428
65,0.09,55292
66,0.09,40464
67,0.10,53500
68,0.11,56196
69,0.08,55664
70,0.08,53740
71,0.08,56120
72,0.10,55916
73,0.08,53448
74,0.06,40816
75,0.07,55020
76,0.07,53324
77,0.06,55620
78,0.07,53452
79,0.08,56324
80,0.06,53484
81,0.06,53484
82,0.08,54996
83,0.08,56172
84,0.06,53496
85,0.06,55108
86,0.07,55156
87,0.06,53492
88,0.06,40436
89,0.07,55676
90,0.07,53500
91,0.07,55664
92,0.07,53444
93,0.07,56572
94,0.08,40300
95,0.06,55276
96,0.07,53584
97,0.08,55388
98,0.10,55660
99,0.07,53648
100,0.06,53500
