Iteración,Tiempo(s),Memoria(KB)
1,0.08,53392
2,0.09,53484
3,0.14,53584
4,0.09,52972
5,0.07,55924
6,0.07,53380
7,0.08,55928
8,0.09,53616
9,0.09,53496
10,0.11,55540
11,0.11,53488
12,0.12,53356
13,0.12,55932
14,0.12,53372
15,0.10,55548
16,0.08,53316
17,0.08,53368
18,0.08,53400
19,0.09,56196
20,0.11,55716
21,0.14,55408
22,0.11,53488
23,0.09,53616
24,0.11,55788
25,0.13,56304
26,0.07,53608
27,0.07,55804
28,0.09,40688
29,0.09,40428
30,0.07,56416
31,0.06,53488
32,0.07,55656
33,0.07,53488
34,0.16,56004
35,0.14,40296
36,0.07,56056
37,0.07,55920
38,0.10,53244
39,0.15,55920
40,0.12,53360
41,0.10,53368
42,0.11,52988
43,0.15,56060
44,0.09,53456
45,0.10,56552
46,0.09,55428
47,0.09,53072
48,0.09,53356
49,0.15,56260
50,0.08,53228
51,0.08,53624
52,0.09,55888
53,0.10,40304
54,0.15,53420
55,0.09,53372
56,0.06,55792
57,0.07,55532
58,0.07,55672
59,0.08,53500
60,0.12,53480
61,0.09,55532
62,0.09,55792
63,0.10,53400
64,0.11,55928
65,0.14,53616
66,0.14,53612
67,0.09,53356
68,0.10,56324
69,0.15,55768
70,0.13,55532
71,0.09,56156
72,0.10,55920
73,0.09,55684
74,0.11,55756
75,0.14,55420
76,0.10,53360
77,0.10,55536
78,0.11,55580
79,0.10,55804
80,0.12,55148
81,0.11,53060
82,0.12,53508
83,0.13,55400
84,0.14,56300
85,0.12,56300
86,0.15,53500
87,0.10,53488
88,0.17,55664
89,0.14,56044
90,0.07,53488
91,0.08,53748
92,0.15,56140
93,0.07,55676
94,0.08,55920
95,0.12,53196
96,0.09,55676
97,0.07,53500
98,0.06,53628
99,0.06,56168
100,0.07,55912
