Iteración,Tiempo(s),Memoria(KB)
1,0.11,53608
2,0.12,55792
3,0.06,56176
4,0.10,56952
5,0.12,57340
6,0.16,55920
7,0.08,56176
8,0.07,56304
9,0.07,56044
10,0.07,56188
11,0.07,56556
12,0.06,55676
13,0.08,56684
14,0.09,56560
15,0.09,56004
16,0.08,56168
17,0.09,55672
18,0.11,55660
19,0.12,56940
20,0.11,53740
21,0.07,55920
22,0.07,56132
23,0.07,56304
24,0.08,55784
25,0.10,56848
26,0.09,53644
27,0.09,53884
28,0.11,53356
29,0.12,56188
30,0.11,55500
31,0.12,56316
32,0.08,55656
33,0.09,55788
34,0.06,53720
35,0.06,55788
36,0.07,55676
37,0.08,55660
38,0.08,56572
39,0.10,56936
40,0.08,53676
41,0.09,56296
42,0.11,56316
43,0.13,55928
44,0.08,56564
45,0.09,55408
46,0.15,56312
47,0.08,54520
48,0.08,57324
49,0.09,55932
50,0.07,55916
51,0.08,55792
52,0.11,55796
53,0.10,53628
54,0.09,56984
55,0.07,56304
56,0.07,56188
57,0.09,55408
58,0.13,56688
59,0.14,56172
60,0.06,55536
61,0.07,55788
62,0.08,57072
63,0.10,53360
64,0.11,56556
65,0.11,56172
66,0.10,55964
67,0.07,56528
68,0.10,56364
69,0.07,55928
70,0.07,55916
71,0.07,55916
72,0.06,56156
73,0.08,56324
74,0.07,56300
75,0.07,56144
76,0.07,56572
77,0.08,56400
78,0.07,56432
79,0.06,56324
80,0.08,56180
81,0.14,53444
82,0.09,56172
83,0.10,56316
84,0.09,56060
85,0.09,56828
86,0.15,54764
87,0.10,55752
88,0.12,55868
89,0.10,56268
90,0.11,53356
91,0.12,55812
92,0.08,55568
93,0.07,56048
94,0.06,55804
95,0.06,55672
96,0.08,56188
97,0.09,55500
98,0.13,56700
99,0.13,56168
100,0.11,56308
