Iteración,Tiempo(s),Memoria(KB)
1,0.08,55792
2,0.13,53508
3,0.09,56048
4,0.11,55916
5,0.11,40436
6,0.09,40560
7,0.08,55920
8,0.09,55760
9,0.10,55028
10,0.11,53356
11,0.09,55664
12,0.12,55508
13,0.13,55484
14,0.15,55036
15,0.14,53392
16,0.08,55920
17,0.06,55664
18,0.08,55820
19,0.07,55152
20,0.07,55932
21,0.07,55784
22,0.08,53492
23,0.12,53492
24,0.08,55532
25,0.12,56364
26,0.07,55536
27,0.08,55664
28,0.08,55408
29,0.09,53232
30,0.14,55284
31,0.17,56188
32,0.18,56016
33,0.15,53380
34,0.06,52988
35,0.07,55164
36,0.06,53104
37,0.07,55676
38,0.08,55792
39,0.08,55248
40,0.07,56060
41,0.06,53116
42,0.05,55532
43,0.06,56688
44,0.06,55664
45,0.06,53228
46,0.06,40420
47,0.06,55672
48,0.06,55748
49,0.07,56052
50,0.06,55412
51,0.07,55292
52,0.05,40692
53,0.06,40280
54,0.05,53876
55,0.06,56260
56,0.07,55084
57,0.06,53612
58,0.05,55528
59,0.05,55540
60,0.07,56316
61,0.08,56308
62,0.14,56296
63,0.07,55852
64,0.06,55792
65,0.05,53104
66,0.05,53036
67,0.08,55676
68,0.07,53372
69,0.07,53496
70,0.06,55164
71,0.07,53232
72,0.07,55312
73,0.06,53188
74,0.12,55216
75,0.05,40524
76,0.06,53224
77,0.09,56004
78,0.13,53364
79,0.07,40300
80,0.08,53628
81,0.08,53628
82,0.08,55660
83,0.09,40428
84,0.10,55792
85,0.10,53244
86,0.13,56304
87,0.13,55404
88,0.07,53360
89,0.06,55908
90,0.08,56304
91,0.08,56048
92,0.09,55788
93,0.08,55528
94,0.08,55420
95,0.08,56048
96,0.08,54012
97,0.08,53628
98,0.09,56168
99,0.09,56272
100,0.10,55684
