Archivo,η1,η2,N1,N2,η,N,V,D,E,T,B
Conversor.java,6,11,15,16,17,31,126.71134807876051,4.363636363636363,552.922246161864,30.717902564547998,0.022455434061431943
Suma.java,4,12,17,21,16,38,152.0,3.5,532.0,29.555555555555557,0.021885333389513397
Factorial.java,6,12,21,22,18,43,179.30677506201943,5.5,986.1872628411069,54.78818126895038,0.033025672609423753
Adivina.java,4,12,20,22,16,42,168.0,3.6666666666666665,616.0,34.22222222222222,0.02413232803113718
