Iteración,Tiempo(s),Memoria(KB)
1,0.12,53752
2,0.25,53508
3,0.17,53228
4,0.13,53592
5,0.19,53244
6,0.18,55804
7,0.13,53740
8,0.10,55536
9,0.14,56004
10,0.07,55532
11,0.08,56432
12,0.07,53360
13,0.08,53500
14,0.08,53380
15,0.09,53488
16,0.12,55760
17,0.17,53244
18,0.14,53616
19,0.09,53360
20,0.09,53500
21,0.10,53628
22,0.12,40304
23,0.14,53500
24,0.10,55920
25,0.14,56572
26,0.08,53356
27,0.14,55660
28,0.09,56012
29,0.10,52932
30,0.15,55800
31,0.09,53368
32,0.09,55404
33,0.10,55812
34,0.15,55500
35,0.10,56172
36,0.07,56444
37,0.06,53360
38,0.07,53232
39,0.07,40296
40,0.09,55920
41,0.07,53488
42,0.07,56560
43,0.07,53356
44,0.08,55912
45,0.09,55804
46,0.12,55664
47,0.11,55540
48,0.07,53420
49,0.06,40364
50,0.06,53364
51,0.06,53364
52,0.06,56044
53,0.05,40452
54,0.06,53316
55,0.06,56060
56,0.06,53496
57,0.07,55536
58,0.09,53372
59,0.11,53100
60,0.12,56060
61,0.11,55940
62,0.09,55408
63,0.14,55884
64,0.10,40656
65,0.09,53228
66,0.08,53608
67,0.07,55660
68,0.08,56052
69,0.08,55412
70,0.09,53496
71,0.10,53488
72,0.11,56188
73,0.14,55532
74,0.13,53484
75,0.12,53232
76,0.12,53500
77,0.12,53608
78,0.07,53492
79,0.08,53228
80,0.10,53104
81,0.08,55420
82,0.08,53488
83,0.07,53372
84,0.07,55788
85,0.07,53104
86,0.09,56184
87,0.07,53252
88,0.06,53200
89,0.06,55548
90,0.06,55956
91,0.05,55408
92,0.05,55440
93,0.06,55792
94,0.06,55536
95,0.06,56048
96,0.07,55188
97,0.11,56012
98,0.11,53500
99,0.13,55696
100,0.11,53372
