Iteración,Tiempo(s),Memoria(KB)
1,0.06,56168
2,0.07,55920
3,0.05,53244
4,0.05,55536
5,0.06,55792
6,0.05,40432
7,0.05,55548
8,0.06,53228
9,0.05,53460
10,0.06,55912
11,0.06,53328
12,0.06,56188
13,0.05,55672
14,0.07,56436
15,0.05,56444
16,0.06,56428
17,0.05,55260
18,0.05,56048
19,0.05,55920
20,0.07,56188
21,0.05,53624
22,0.06,55544
23,0.05,55676
24,0.05,55788
25,0.05,55540
26,0.06,56188
27,0.06,55664
28,0.05,53228
29,0.06,56144
30,0.05,53592
31,0.05,56056
32,0.05,56304
33,0.05,56172
34,0.05,55760
35,0.05,53372
36,0.05,53616
37,0.07,56188
38,0.07,56324
39,0.07,55672
40,0.05,55792
41,0.06,53380
42,0.05,53740
43,0.05,55628
44,0.05,55784
45,0.06,55952
46,0.05,55676
47,0.05,53612
48,0.07,56176
49,0.06,53616
50,0.07,52980
51,0.06,56176
52,0.07,53116
53,0.05,55420
54,0.06,56060
55,0.05,53244
56,0.06,55664
57,0.05,55664
58,0.06,55548
59,0.07,56316
60,0.06,53616
61,0.06,55920
62,0.07,55532
63,0.06,55924
64,0.05,53480
65,0.06,53096
66,0.05,53616
67,0.05,53508
68,0.05,53228
69,0.06,56308
70,0.05,55952
71,0.06,55656
72,0.05,55408
73,0.05,53116
74,0.06,55420
75,0.06,56304
76,0.05,53616
77,0.06,53488
78,0.06,55656
79,0.10,55792
80,0.05,55384
81,0.05,56060
82,0.06,55916
83,0.06,55916
84,0.05,55540
85,0.05,53332
86,0.05,53356
87,0.05,55660
88,0.05,55924
89,0.07,55664
90,0.08,53380
91,0.06,53484
92,0.07,56172
93,0.05,55912
94,0.05,55408
95,0.07,56172
96,0.06,55916
97,0.05,53236
98,0.05,55804
99,0.06,56308
100,0.05,53244
