Iteración,Tiempo(s),Memoria(KB)
1,0.05,53608
2,0.06,53212
3,0.05,55668
4,0.05,55784
5,0.05,55508
6,0.06,53480
7,0.06,53096
8,0.06,56444
9,0.07,55676
10,0.05,56304
11,0.06,53492
12,0.05,53104
13,0.06,53232
14,0.06,56556
15,0.06,56316
16,0.05,53360
17,0.06,53244
18,0.05,56052
19,0.05,55420
20,0.05,55784
21,0.05,53368
22,0.05,53484
23,0.05,53488
24,0.05,55644
25,0.07,55940
26,0.05,55420
27,0.05,55804
28,0.05,56188
29,0.05,53616
30,0.07,53488
31,0.05,53596
32,0.05,40424
33,0.06,55408
34,0.05,56188
35,0.05,53360
36,0.07,55544
37,0.06,56172
38,0.05,55668
39,0.07,55652
40,0.07,55036
41,0.07,55932
42,0.05,40176
43,0.05,56080
44,0.05,56168
45,0.06,55148
46,0.05,55912
47,0.05,55536
48,0.05,56428
49,0.05,53488
50,0.06,56432
51,0.06,55208
52,0.07,55056
53,0.07,56444
54,0.05,53356
55,0.05,56188
56,0.07,55932
57,0.06,56172
58,0.05,55640
59,0.06,56184
60,0.07,56172
61,0.05,55804
62,0.06,55792
63,0.07,55792
64,0.08,56048
65,0.05,53100
66,0.06,55548
67,0.05,53488
68,0.07,56040
69,0.06,56436
70,0.06,53616
71,0.05,53628
72,0.06,56088
73,0.06,53244
74,0.06,53712
75,0.06,55660
76,0.09,56044
77,0.05,56048
78,0.05,55408
79,0.05,55676
80,0.05,55536
81,0.06,54908
82,0.05,53364
83,0.05,55940
84,0.05,53232
85,0.06,53360
86,0.05,55620
87,0.06,53228
88,0.05,55404
89,0.05,55548
90,0.05,53352
91,0.06,55292
92,0.06,53736
93,0.05,55932
94,0.05,55020
95,0.06,56060
96,0.05,54908
97,0.06,56056
98,0.06,55036
99,0.06,53352
100,0.06,56680
