Iteración,Tiempo(s),Memoria(KB)
1,0.07,56176
2,0.07,55768
3,0.06,56572
4,0.05,55660
5,0.06,56392
6,0.08,56556
7,0.06,56180
8,0.08,56572
9,0.09,56492
10,0.07,56188
11,0.07,56044
12,0.07,56188
13,0.07,56316
14,0.08,53736
15,0.07,56048
16,0.07,56048
17,0.08,56004
18,0.08,56452
19,0.08,55644
20,0.08,56304
21,0.07,55792
22,0.08,53740
23,0.08,55940
24,0.06,55560
25,0.08,55704
26,0.06,55804
27,0.06,56184
28,0.07,55812
29,0.07,56556
30,0.05,56432
31,0.06,56684
32,0.05,55920
33,0.06,56304
34,0.06,53740
35,0.07,56040
36,0.07,55760
37,0.06,56316
38,0.07,53356
39,0.06,56316
40,0.07,56188
41,0.06,56424
42,0.06,56056
43,0.08,56300
44,0.07,55792
45,0.07,53884
46,0.06,55784
47,0.06,55612
48,0.08,55676
49,0.08,55916
50,0.06,56556
51,0.06,56176
52,0.06,55920
53,0.07,55916
54,0.06,56444
55,0.06,55684
56,0.05,56180
57,0.06,55804
58,0.06,56188
59,0.07,56176
60,0.06,56280
61,0.05,55796
62,0.06,56572
63,0.05,55788
64,0.07,56188
65,0.06,56556
66,0.06,55784
67,0.06,56680
68,0.06,53564
69,0.06,55796
70,0.06,55804
71,0.06,56176
72,0.07,55932
73,0.07,55912
74,0.07,55920
75,0.06,56784
76,0.11,55864
77,0.05,55804
78,0.08,57980
79,0.06,55788
80,0.06,56188
81,0.05,55664
82,0.05,55756
83,0.05,56440
84,0.06,54012
85,0.07,56432
86,0.06,55804
87,0.06,56304
88,0.06,56556
89,0.06,55544
90,0.06,54000
91,0.06,55792
92,0.06,56580
93,0.05,55532
94,0.08,56708
95,0.06,56432
96,0.07,56068
97,0.06,53636
98,0.06,55920
99,0.07,53736
100,0.07,56572
