Iteración,Tiempo(s),Memoria(KB)
1,0.07,55660
2,0.08,57452
3,0.06,56816
4,0.06,55548
5,0.05,55920
6,0.06,56308
7,0.09,53892
8,0.06,55784
9,0.08,56176
10,0.06,56060
11,0.07,56964
12,0.07,56440
13,0.06,55664
14,0.07,53500
15,0.08,56828
16,0.08,56688
17,0.08,56048
18,0.08,56196
19,0.14,55428
20,0.10,56440
21,0.08,56060
22,0.09,56304
23,0.07,55888
24,0.07,55912
25,0.07,55248
26,0.09,56432
27,0.09,56348
28,0.06,55932
29,0.08,56444
30,0.06,56312
31,0.07,55804
32,0.07,56572
33,0.05,55532
34,0.08,55800
35,0.07,55804
36,0.12,55960
37,0.13,55916
38,0.09,56620
39,0.07,53892
40,0.09,56560
41,0.10,56700
42,0.09,53628
43,0.07,56172
44,0.07,55804
45,0.09,56432
46,0.10,55924
47,0.11,55672
48,0.12,55548
49,0.11,55664
50,0.11,55812
51,0.11,55888
52,0.12,56300
53,0.09,55916
54,0.09,56436
55,0.12,56568
56,0.12,55428
57,0.15,56772
58,0.09,53756
59,0.08,55664
60,0.08,56044
61,0.09,55492
62,0.10,56684
63,0.09,56684
64,0.10,56016
65,0.10,55668
66,0.08,55920
67,0.15,53500
68,0.08,55884
69,0.08,56012
70,0.08,55664
71,0.09,56128
72,0.15,56056
73,0.14,57232
74,0.08,56824
75,0.12,56560
76,0.15,56536
77,0.09,56444
78,0.10,56296
79,0.11,56184
80,0.15,56272
81,0.11,55912
82,0.08,56436
83,0.08,56176
84,0.08,55420
85,0.09,55784
86,0.09,56184
87,0.09,55804
88,0.10,56688
89,0.11,56432
90,0.13,55528
91,0.12,56260
92,0.14,56680
93,0.13,55560
94,0.09,55924
95,0.15,56688
96,0.08,56300
97,0.08,56300
98,0.07,55788
99,0.09,53244
100,0.11,56344
