Iteración,Tiempo(s),Memoria(KB)
1,0.06,56700
2,0.06,56828
3,0.06,56956
4,0.07,55792
5,0.06,56944
6,0.06,55784
7,0.06,56152
8,0.07,55920
9,0.06,56168
10,0.06,56304
11,0.07,56172
12,0.06,56812
13,0.07,56048
14,0.05,55660
15,0.05,56044
16,0.06,56700
17,0.07,56044
18,0.05,55676
19,0.06,53232
20,0.06,56048
21,0.07,56252
22,0.05,56452
23,0.05,56572
24,0.05,55656
25,0.06,56044
26,0.06,55792
27,0.06,56316
28,0.06,55932
29,0.06,56044
30,0.07,55796
31,0.06,56556
32,0.05,56056
33,0.07,56048
34,0.06,56300
35,0.06,56432
36,0.06,55928
37,0.06,57076
38,0.07,57280
39,0.06,55920
40,0.06,55916
41,0.05,53740
42,0.06,55796
43,0.06,55796
44,0.06,56052
45,0.06,55152
46,0.06,55788
47,0.06,55932
48,0.06,56316
49,0.06,53880
50,0.06,56176
51,0.05,55684
52,0.05,55548
53,0.05,55660
54,0.06,56172
55,0.05,55400
56,0.06,56428
57,0.06,56040
58,0.06,55668
59,0.06,56176
60,0.06,55760
61,0.07,56056
62,0.05,55528
63,0.05,56052
64,0.06,56680
65,0.06,56044
66,0.05,55920
67,0.05,55928
68,0.05,55888
69,0.05,55548
70,0.05,56316
71,0.05,56028
72,0.06,53616
73,0.06,55912
74,0.06,56176
75,0.06,56444
76,0.07,55796
77,0.07,56284
78,0.06,56556
79,0.06,55792
80,0.05,55920
81,0.05,55548
82,0.05,56048
83,0.09,57972
84,0.06,56660
85,0.05,55920
86,0.06,55804
87,0.06,55660
88,0.07,53500
89,0.05,55788
90,0.06,55532
91,0.08,56432
92,0.06,56304
93,0.05,55668
94,0.05,56176
95,0.07,55676
96,0.07,56056
97,0.06,56564
98,0.06,55664
99,0.07,56056
100,0.06,53752
