Iteración,Tiempo(s),Memoria(KB)
1,0.06,55292
2,0.07,55544
3,0.05,52988
4,0.07,55420
5,0.06,53372
6,0.06,55920
7,0.06,55544
8,0.05,55676
9,0.05,53352
10,0.05,53352
11,0.06,55828
12,0.06,56168
13,0.06,55804
14,0.06,55932
15,0.06,53456
16,0.07,53036
17,0.06,56272
18,0.06,56196
19,0.06,53416
20,0.06,56188
21,0.06,55940
22,0.05,53188
23,0.05,53624
24,0.06,55412
25,0.05,53488
26,0.06,56044
27,0.06,56316
28,0.05,53884
29,0.06,53236
30,0.05,53360
31,0.05,56172
32,0.05,53100
33,0.05,53628
34,0.06,56304
35,0.05,55788
36,0.06,53612
37,0.06,56188
38,0.06,56044
39,0.05,56312
40,0.06,56188
41,0.05,55672
42,0.06,55924
43,0.05,53172
44,0.06,55920
45,0.07,56280
46,0.05,53360
47,0.07,53228
48,0.07,53228
49,0.06,53484
50,0.05,56060
51,0.05,55300
52,0.06,55804
53,0.06,56056
54,0.05,55656
55,0.06,53616
56,0.05,53756
57,0.05,56044
58,0.06,56168
59,0.07,56304
60,0.06,55796
61,0.07,55884
62,0.05,53628
63,0.05,53620
64,0.06,53380
65,0.05,53500
66,0.05,53624
67,0.07,56132
68,0.07,55664
69,0.06,55932
70,0.06,55916
71,0.06,55896
72,0.07,56312
73,0.07,55576
74,0.05,55536
75,0.05,53744
76,0.05,55384
77,0.06,53456
78,0.06,55924
79,0.05,53620
80,0.05,53496
81,0.05,53356
82,0.05,53244
83,0.06,56304
84,0.05,55460
85,0.07,55576
86,0.05,53624
87,0.06,56068
88,0.05,56056
89,0.06,53116
90,0.05,55656
91,0.07,56056
92,0.06,56056
93,0.05,53244
94,0.05,53232
95,0.05,53468
96,0.05,55788
97,0.05,40432
98,0.05,53748
99,0.05,55572
100,0.05,56048
