Iteración,Tiempo(s),Memoria(KB)
1,0.06,55920
2,0.09,53368
3,0.05,55804
4,0.05,53484
5,0.05,55676
6,0.06,56184
7,0.06,53100
8,0.06,53356
9,0.06,55920
10,0.06,56044
11,0.06,53244
12,0.05,55800
13,0.06,53548
14,0.07,53488
15,0.06,53612
16,0.06,56236
17,0.06,55660
18,0.06,55920
19,0.06,55596
20,0.06,53380
21,0.06,53572
22,0.06,53488
23,0.06,53116
24,0.06,52988
25,0.06,53320
26,0.06,53104
27,0.06,55804
28,0.05,53352
29,0.05,55660
30,0.05,55660
31,0.05,53500
32,0.05,53500
33,0.06,55628
34,0.05,53484
35,0.05,55448
36,0.05,53372
37,0.06,55640
38,0.05,55920
39,0.05,53228
40,0.05,56300
41,0.05,53360
42,0.06,56176
43,0.05,53228
44,0.06,40432
45,0.05,55528
46,0.06,53360
47,0.07,53484
48,0.06,56180
49,0.05,55656
50,0.05,53232
51,0.06,53480
52,0.07,56428
53,0.05,55504
54,0.06,56180
55,0.06,53360
56,0.05,53336
57,0.05,56012
58,0.05,53488
59,0.05,53628
60,0.06,53360
61,0.05,53612
62,0.06,53228
63,0.05,55916
64,0.05,53468
65,0.05,55916
66,0.06,56056
67,0.06,53272
68,0.05,55684
69,0.06,56068
70,0.05,53608
71,0.05,53616
72,0.06,56188
73,0.06,55544
74,0.05,53340
75,0.05,55532
76,0.05,55540
77,0.05,55676
78,0.06,53752
79,0.05,53480
80,0.06,55796
81,0.06,53340
82,0.06,53360
83,0.05,53656
84,0.05,53628
85,0.06,53228
86,0.06,53508
87,0.05,53372
88,0.06,53352
89,0.05,53196
90,0.06,53484
91,0.05,55544
92,0.06,56312
93,0.05,55532
94,0.05,53244
95,0.05,55800
96,0.05,56060
97,0.06,56176
98,0.05,55532
99,0.05,53240
100,0.06,53612
