Iteración,Tiempo(s),Memoria(KB)
1,0.05,55532
2,0.06,56436
3,0.07,56176
4,0.08,56828
5,0.08,56568
6,0.06,55792
7,0.07,55420
8,0.11,55536
9,0.12,56680
10,0.11,55884
11,0.12,55616
12,0.15,56240
13,0.16,56680
14,0.07,55276
15,0.15,57072
16,0.16,56432
17,0.08,56560
18,0.07,55420
19,0.11,56568
20,0.11,56048
21,0.11,56304
22,0.11,56188
23,0.11,56436
24,0.08,55660
25,0.09,55656
26,0.11,56180
27,0.11,55548
28,0.10,55336
29,0.08,55912
30,0.09,56080
31,0.10,53616
32,0.10,55672
33,0.11,55920
34,0.10,55920
35,0.16,55408
36,0.15,56252
37,0.08,55804
38,0.08,55824
39,0.08,55796
40,0.10,55756
41,0.12,56580
42,0.18,56556
43,0.14,57164
44,0.07,56172
45,0.15,56560
46,0.14,56488
47,0.10,56060
48,0.11,56300
49,0.12,56212
50,0.13,56064
51,0.14,55804
52,0.08,56956
53,0.09,55556
54,0.13,53636
55,0.14,56300
56,0.13,56700
57,0.14,56172
58,0.09,55784
59,0.08,56172
60,0.11,55524
61,0.08,56060
62,0.09,55912
63,0.08,55932
64,0.11,56900
65,0.10,55676
66,0.10,55784
67,0.07,56276
68,0.07,55540
69,0.09,56180
70,0.08,56444
71,0.09,56044
72,0.13,55656
73,0.08,55572
74,0.12,55628
75,0.15,56176
76,0.10,53508
77,0.10,55676
78,0.12,55920
79,0.13,55516
80,0.17,56168
81,0.20,56060
82,0.15,56056
83,0.09,55804
84,0.10,55548
85,0.12,56188
86,0.12,56236
87,0.11,53608
88,0.09,56940
89,0.09,56296
90,0.10,56176
91,0.11,57068
92,0.13,55912
93,0.15,55676
94,0.10,55212
95,0.09,55148
96,0.10,53740
97,0.09,55804
98,0.11,56044
99,0.14,56212
100,0.19,56188
