Iteración,Tiempo(s),Memoria(KB)
1,0.05,53628
2,0.05,55912
3,0.06,53360
4,0.06,53372
5,0.06,55932
6,0.05,53228
7,0.06,40432
8,0.07,56188
9,0.05,55916
10,0.06,56048
11,0.06,55660
12,0.05,53360
13,0.06,53488
14,0.06,53628
15,0.06,55620
16,0.07,55800
17,0.06,53500
18,0.06,53624
19,0.06,53488
20,0.08,55548
21,0.05,56056
22,0.06,55660
23,0.05,53488
24,0.06,55792
25,0.05,55812
26,0.05,53520
27,0.05,53372
28,0.06,55036
29,0.06,55804
30,0.07,56308
31,0.05,53480
32,0.06,56052
33,0.06,56316
34,0.06,56176
35,0.05,53516
36,0.06,52968
37,0.05,53496
38,0.05,52976
39,0.05,40316
40,0.06,53616
41,0.06,55932
42,0.05,53356
43,0.05,56096
44,0.06,55800
45,0.06,52976
46,0.07,55660
47,0.05,55404
48,0.06,55548
49,0.05,53488
50,0.05,53500
51,0.05,55660
52,0.06,56048
53,0.05,40188
54,0.05,56148
55,0.05,55676
56,0.10,55848
57,0.06,56052
58,0.06,53360
59,0.06,55676
60,0.05,53360
61,0.05,55548
62,0.05,40600
63,0.05,53188
64,0.05,53480
65,0.05,53372
66,0.06,53372
67,0.05,40176
68,0.05,55928
69,0.07,55812
70,0.05,53224
71,0.05,53488
72,0.06,56188
73,0.06,53244
74,0.06,55932
75,0.05,56168
76,0.05,53228
77,0.05,55804
78,0.06,53372
79,0.06,55532
80,0.06,56176
81,0.05,55660
82,0.06,40184
83,0.06,53208
84,0.05,55676
85,0.05,55792
86,0.05,56040
87,0.06,55976
88,0.05,52972
89,0.05,53720
90,0.05,53744
91,0.06,55804
92,0.06,55676
93,0.06,55664
94,0.06,56052
95,0.06,40428
96,0.05,55804
97,0.05,53612
98,0.06,53360
99,0.05,55536
100,0.05,55676
