Iteración,Tiempo(s),Memoria(KB)
1,0.07,55964
2,0.06,56432
3,0.05,55672
4,0.05,53072
5,0.05,55548
6,0.06,55668
7,0.06,56060
8,0.06,53112
9,0.05,53360
10,0.05,55920
11,0.06,53244
12,0.08,55920
13,0.06,53236
14,0.06,55904
15,0.06,55920
16,0.05,55412
17,0.06,53628
18,0.06,55764
19,0.06,53756
20,0.07,53484
21,0.06,53372
22,0.07,53116
23,0.08,53096
24,0.06,53868
25,0.05,53220
26,0.07,56424
27,0.05,54012
28,0.05,53500
29,0.05,53488
30,0.06,56060
31,0.07,55940
32,0.05,55920
33,0.06,53612
34,0.07,56180
35,0.05,55664
36,0.05,55940
37,0.06,55684
38,0.05,53628
39,0.05,55512
40,0.05,55928
41,0.05,53356
42,0.05,56048
43,0.05,55676
44,0.05,56040
45,0.06,55300
46,0.07,56044
47,0.06,53480
48,0.05,55788
49,0.07,55928
50,0.05,53484
51,0.05,53224
52,0.05,53356
53,0.05,53392
54,0.05,53372
55,0.06,56048
56,0.05,53244
57,0.05,56176
58,0.06,56052
59,0.06,55928
60,0.06,53356
61,0.05,55532
62,0.05,55532
63,0.05,55660
64,0.06,55792
65,0.05,55400
66,0.05,55664
67,0.06,56316
68,0.05,53100
69,0.06,56016
70,0.07,56060
71,0.05,53372
72,0.05,55404
73,0.05,55932
74,0.06,53748
75,0.05,53528
76,0.06,53372
77,0.06,53316
78,0.06,56044
79,0.05,53368
80,0.06,56040
81,0.06,53764
82,0.06,53612
83,0.05,53616
84,0.05,55536
85,0.06,53500
86,0.05,55792
87,0.05,53232
88,0.05,56316
89,0.05,53352
90,0.10,55768
91,0.05,53488
92,0.06,53232
93,0.07,53208
94,0.07,55536
95,0.07,55412
96,0.06,53116
97,0.06,56060
98,0.06,55528
99,0.05,53628
100,0.06,55664
