Iteración,Tiempo(s),Memoria(KB)
1,0.06,56260
2,0.06,56044
3,0.06,56536
4,0.06,57336
5,0.06,55664
6,0.06,56060
7,0.05,56172
8,0.06,56104
9,0.05,55796
10,0.05,55404
11,0.05,55536
12,0.05,55804
13,0.05,56284
14,0.06,56828
15,0.05,55668
16,0.08,55676
17,0.06,53872
18,0.06,56176
19,0.06,56444
20,0.08,56172
21,0.05,55404
22,0.06,55916
23,0.05,55772
24,0.05,55588
25,0.06,55912
26,0.05,56176
27,0.06,56620
28,0.06,57212
29,0.07,56700
30,0.07,55696
31,0.06,56696
32,0.06,56572
33,0.06,56060
34,0.06,55788
35,0.06,55548
36,0.06,55664
37,0.05,56168
38,0.06,56836
39,0.05,56444
40,0.07,55932
41,0.07,55804
42,0.07,56148
43,0.06,56428
44,0.05,56172
45,0.05,55796
46,0.07,56688
47,0.07,57068
48,0.06,56444
49,0.06,56168
50,0.05,55664
51,0.06,55932
52,0.06,55924
53,0.05,56940
54,0.05,55660
55,0.06,56316
56,0.06,56176
57,0.05,55788
58,0.06,55676
59,0.07,56824
60,0.06,56052
61,0.05,56552
62,0.07,55668
63,0.05,56068
64,0.05,55536
65,0.07,56816
66,0.06,56572
67,0.07,56432
68,0.05,55824
69,0.05,56044
70,0.06,56188
71,0.06,55916
72,0.07,55748
73,0.05,55536
74,0.05,55804
75,0.05,56300
76,0.05,55416
77,0.06,55792
78,0.07,56828
79,0.07,54640
80,0.07,56120
81,0.06,56300
82,0.11,55548
83,0.07,56140
84,0.06,55916
85,0.06,55788
86,0.06,56196
87,0.05,56296
88,0.05,55536
89,0.05,56308
90,0.05,55660
91,0.05,56024
92,0.06,56152
93,0.06,55912
94,0.07,55916
95,0.06,56528
96,0.06,56060
97,0.05,56176
98,0.06,55660
99,0.05,55920
100,0.06,56560
