Iteración,Tiempo(s),Memoria(KB)
1,0.10,55916
2,0.08,56464
3,0.06,55868
4,0.08,53264
5,0.07,55916
6,0.12,40420
7,0.09,53636
8,0.08,55548
9,0.08,53364
10,0.09,53144
11,0.11,53372
12,0.09,53360
13,0.10,56388
14,0.10,53884
15,0.10,56168
16,0.09,53356
17,0.10,55916
18,0.10,56048
19,0.10,53380
20,0.11,53628
21,0.13,53356
22,0.14,53136
23,0.07,55852
24,0.09,53116
25,0.09,53116
26,0.10,53352
27,0.11,53740
28,0.10,53228
29,0.10,53244
30,0.11,56172
31,0.11,40564
32,0.10,53612
33,0.11,56180
34,0.10,53372
35,0.10,53372
36,0.10,55924
37,0.07,55788
38,0.13,40484
39,0.12,56052
40,0.07,55932
41,0.10,53356
42,0.13,56304
43,0.17,53496
44,0.16,55860
45,0.14,56316
46,0.12,53116
47,0.10,56168
48,0.13,56176
49,0.09,53616
50,0.09,52976
51,0.10,55912
52,0.10,53372
53,0.11,56432
54,0.11,55884
55,0.10,53548
56,0.13,53456
57,0.09,53488
58,0.09,53744
59,0.09,55804
60,0.10,56024
61,0.10,55504
62,0.10,53356
63,0.13,53356
64,0.15,56184
65,0.07,56188
66,0.08,53620
67,0.09,52988
68,0.09,40552
69,0.09,53380
70,0.09,53488
71,0.12,53628
72,0.13,56172
73,0.15,56176
74,0.13,53488
75,0.11,40268
76,0.11,53372
77,0.13,53244
78,0.09,53368
79,0.09,53240
80,0.11,56016
81,0.09,53508
82,0.08,53628
83,0.11,55708
84,0.14,53408
85,0.14,53628
86,0.17,56060
87,0.05,55660
88,0.05,55920
89,0.05,53228
90,0.07,55788
91,0.06,55656
92,0.07,53232
93,0.06,53628
94,0.06,53484
95,0.07,53488
96,0.07,53884
97,0.13,53500
98,0.08,55804
99,0.09,55632
100,0.09,40424
