Iteración,Tiempo(s),Memoria(KB)
1,0.05,53872
2,0.05,53484
3,0.05,55924
4,0.05,55920
5,0.05,53628
6,0.06,53368
7,0.05,53372
8,0.06,56012
9,0.06,55804
10,0.05,53880
11,0.06,55664
12,0.05,55672
13,0.06,55420
14,0.05,53112
15,0.06,55916
16,0.06,53492
17,0.05,53628
18,0.06,55912
19,0.06,53372
20,0.07,55684
21,0.06,53360
22,0.06,56296
23,0.06,53500
24,0.05,53840
25,0.06,53488
26,0.05,53756
27,0.06,55932
28,0.06,55804
29,0.05,56688
30,0.06,53228
31,0.05,56060
32,0.07,55804
33,0.05,53592
34,0.06,56260
35,0.06,56300
36,0.07,56308
37,0.05,55540
38,0.05,55548
39,0.06,56224
40,0.05,56300
41,0.07,55804
42,0.05,55800
43,0.06,55980
44,0.06,53616
45,0.05,53480
46,0.05,55800
47,0.07,55660
48,0.06,55156
49,0.05,53612
50,0.06,53356
51,0.05,53616
52,0.06,56296
53,0.05,55284
54,0.07,55640
55,0.06,56048
56,0.06,55504
57,0.05,55420
58,0.05,55532
59,0.05,55908
60,0.05,55932
61,0.05,56040
62,0.06,56304
63,0.06,53236
64,0.06,56056
65,0.06,56300
66,0.06,54892
67,0.05,53492
68,0.06,55928
69,0.05,56564
70,0.06,56300
71,0.09,54892
72,0.05,55532
73,0.06,55588
74,0.05,55964
75,0.06,56300
76,0.06,56312
77,0.06,55540
78,0.06,55932
79,0.06,55924
80,0.05,56428
81,0.05,53500
82,0.08,56156
83,0.06,55876
84,0.06,55408
85,0.05,53356
86,0.05,55156
87,0.06,53488
88,0.05,55672
89,0.06,56172
90,0.07,56176
91,0.06,53328
92,0.06,55920
93,0.06,56044
94,0.05,55536
95,0.06,53112
96,0.06,56052
97,0.05,53396
98,0.05,53484
99,0.05,55420
100,0.05,56316
