Archivo,η1,η2,N1,N2,η,N,V,D,E,T,B,CC
Conversor.java,12,17,22,25,29,47,164.56377159063612,8.916666666666666,610.7961506825109,33.93311948236172,0.030230038046990614,5
Suma.java,12,22,25,37,34,62,218.02797331369229,9.976190476190476,932.2860762474654,51.79367090263697,0.03914431030871694,6
Tareas.java,13,30,31,52,43,83,304.7383500317309,11.641258741258742,1097.9151737060497,60.99528742811387,0.05107833640603618,7
Factorial.java,12,21,22,35,33,57,161.88128990896303,11.388888888888888,498.41795925325323,27.689886625180733,0.029905370878991137,6
Adivina.java,12,16,20,23,28,43,119.72968448901872,9.625,277.62929397947977,15.423849665526653,0.021654634123511325,5
