File,LOC,n1,n2,N1,N2,n,N,V,L,D,E,B
Conversor.java,22,9,34,25,63,43,88,477.51129841378463,0.11992945326278659,8.338235294117647,3981.601561773763,0.15917043280459486
Suma.java,27,7,39,31,77,46,108,596.5446912541574,0.1447124304267161,6.910256410256411,4122.276776743473,0.19884823041805247
Tareas.java,33,6,40,32,91,46,123,679.3981205950126,0.1465201465201465,6.824999999999999,4636.892173060962,0.22646604019833755
Factorial.java,26,7,23,19,56,30,75,368.0167946706389,0.1173469387755102,8.521739130434783,3136.1431198019663,0.12267226489021296
Adivina.java,24,6,28,23,60,34,83,422.2594158237782,0.15555555555555556,6.428571428571429,2714.5248160100027,0.14075313860792607
