Archivo,Método,η1,η2,N1,N2,η,N,V,D,E,T,B
Conversor.java,main,6,12,12,17,18,29,120.92782504182705,4.25,513.9432564277649,28.55240313487583,0.021387278590281923
Conversor.java,convertirAFahrenheit,4,2,4,3,6,7,18.094737505048094,3.0,54.28421251514428,3.0157895841746822,0.004778898134124946
Conversor.java,mostrarResultado,2,3,6,5,5,11,25.541209043760983,1.6666666666666667,42.56868173960164,2.364926763311202,0.004063861322583745
Suma.java,main,6,14,14,24,20,38,164.2332676057198,5.142857142857142,844.6282334008446,46.92379074449136,0.02978441960423675
Suma.java,mostrarNumeros,2,3,6,5,5,11,25.541209043760983,1.6666666666666667,42.56868173960164,2.364926763311202,0.004063861322583745
Suma.java,sumar,2,3,2,5,5,7,16.253496664211536,1.6666666666666667,27.089161107019226,1.5049533948344014,0.0030066008967897778
Suma.java,mostrarResultado,2,2,3,3,4,6,12.0,1.5,18.0,1.0,0.0022894284851066636
Tareas.java,main,3,13,7,21,16,28,112.0,2.4230769230769234,271.3846153846154,15.076923076923078,0.013972331943696754
Tareas.java,mostrarMenu,1,1,2,1,2,3,3.0,0.5,1.5,0.08333333333333333,0.0004367902323681494
Tareas.java,leerTareas,5,11,11,19,16,30,120.0,4.318181818181818,518.1818181818182,28.787878787878793,0.021504706798077006
Tareas.java,mostrarTareas,4,5,11,11,9,22,69.73835003173087,4.4,306.84874013961587,17.04715222997866,0.015164507431894274
Factorial.java,main,1,9,2,13,10,15,49.82892142331043,0.7222222222222222,35.987554361279756,1.999308575626653,0.0036334035364172543
Factorial.java,obtenerNumero,3,3,4,4,6,8,20.67970000576925,2.0,41.3594000115385,2.2977444450854723,0.003986528732566614
Factorial.java,mostrarNumero,1,2,2,3,3,5,7.92481250360578,0.75,5.943609377704336,0.3302005209835742,0.0010937353563488532
Factorial.java,calcularFactorial,5,4,9,10,9,19,60.228575027403934,6.25,376.42859392127457,20.912699662293033,0.017378027585226222
Factorial.java,mostrarResultado,2,3,5,5,5,10,23.21928094887362,1.6666666666666667,38.69880158145604,2.149933421192002,0.0038136756684321936
Adivina.java,main,1,8,2,10,9,12,38.039100017307746,0.625,23.774437510817343,1.3208020839342969,0.0027560403969563805
Adivina.java,generarNumeroSecreto,4,3,4,3,7,7,19.651484454403228,2.0,39.302968908806456,2.1834982727114696,0.0038532659414573967
Adivina.java,obtenerIntento,4,2,7,4,6,11,28.43458750793272,4.0,113.73835003173087,6.318797223985048,0.00782498225104784
Adivina.java,mostrarResultado,3,3,7,6,6,13,33.60451250937503,3.0,100.81353752812508,5.600752084895838,0.007220345534049707
