LOC,n1,n2,N1,N2,n,N,V,L,D,E,B
11.0,6.0,26.0,18.0,39.0,32.0,57.0,285.0,0.2222222222222222,4.5,1282.5,0.095
13.0,4.0,25.0,21.0,45.0,29.0,66.0,320.6267456784198,0.2777777777777778,3.6,1154.2562844423112,0.1068755818928066
23.0,6.0,35.0,30.0,71.0,41.0,101.0,541.1127524664265,0.16431924882629106,6.085714285714285,3293.05760786711,0.18037091748880885
14.0,7.0,25.0,21.0,43.0,32.0,64.0,320.0,0.16611295681063123,6.02,1926.3999999999999,0.10666666666666667
18.0,6.0,28.0,25.0,56.0,34.0,81.0,412.0844901412775,0.16666666666666666,6.0,2472.506940847665,0.13736149671375916
